# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 12 2024 at 15:39:34+0200
# parameter filename: "TOV_lev2_r12.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev2_r12-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.39.27-554
# Run ID: run-TOV_lev2_r12-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.39.27-554
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
0 0 0 0 5.67057299613953 0 0.137453317642212 0 5.58257532119751 0 0 0 0 0 0 0 0 0 14.096929857332 20611.880209859 0 20611.880209859 160 427135 2047 425088 0 0 0 0 5.66851997375488 1718199574.08211 266
512 0.5 3118.29866536478 3118.29866536478 6.30539298057556 0.577237844467163 0.715941905975342 0 5.59218001365662 3 414608.990546902 414608.990546902 239328 239328 203562.536875013 203562.536875013 117504 117504 32.5613369847803 78594.6587843459 2542.82572837737 76051.8330559686 186 439498 14410 425088 0 0 0 0 6.2988805770874 1718199574.71693 905
1024 1 3668.92067430702 3668.92067430702 6.70937013626099 0.981215000152588 1.08644771575928 0 5.64842343330383 6 487819.692855862 487819.692855862 478656 478656 239507.141618763 239507.141618763 235008 235008 43.3938051697731 79299.6891392669 2778.62627857596 76521.062860691 284 454727 15815 438912 0 0 0 0 6.69830060005188 1718199575.12091 1544
1536 1.5 3929.51371810546 3929.51371810546 7.10237097740173 1.37421584129333 1.44780445098877 0 5.65674352645874 9 522468.143959302 522468.143959302 717984 717984 256518.655517925 256518.655517925 352512 352512 54.1155539634467 80628.9921376554 3008.1881467916 77620.8039908638 310 456122 17210 438912 0 0 0 0 7.08686447143555 1718199575.51391 2183
2048 2 3985.22840148324 3985.22840148324 7.53482699394226 1.80667185783386 1.82438659667969 0 5.75725674629211 12 529875.968261212 529875.968261212 957312 957312 260155.710048826 260155.710048826 470016 470016 71.7983152746928 100063.385702076 3230.22371599264 96833.1619860832 492 882634 18634 864000 0 0 0 0 7.51476311683655 1718199575.94636 2822
2560 2.5 3957.57671193727 3957.57671193727 8.00227403640747 2.27411890029907 2.23891353607178 0 5.76570057868958 15 526199.399619179 526199.399619179 1196640 1196640 258350.607755265 258350.607755265 587520 587520 89.1840793179711 153352.371407015 3439.83340949178 149912.537997523 518 884024 20024 864000 0 0 0 0 7.97781014442444 1718199576.41381 3461
3072 3 4030.98347899939 4030.98347899939 8.40740203857422 2.67924690246582 2.60901284217834 0 5.82424521446228 18 535959.563367758 535959.563367758 1435968 1435968 263142.60150908 263142.60150908 705024 705024 99.3379334312409 153568.339385269 3667.39783752663 149900.941547743 616 899282 21458 877824 0 0 0 0 8.37842226028442 1718199576.81894 4100
3584 3.5 4080.34923708812 4080.34923708812 8.81612610816956 3.08797097206116 2.98572587966919 0 5.83327913284302 21 542523.234563236 542523.234563236 1675296 1675296 266365.198197112 266365.198197112 822528 822528 109.42645015711 154444.97199322 3885.15352501389 150559.818468206 642 900676 22852 877824 0 0 0 0 8.78290724754333 1718199577.22766 4739
4096 4 4080.89948739078 4080.89948739078 9.25678896903992 3.52863383293152 3.36753582954407 0 5.93712139129639 24 542596.395843478 542596.395843478 1914624 1914624 266401.11853687 266401.11853687 940032 940032 125.992206893575 172509.480563264 4088.80369541415 168420.67686785 824 1327183 24271 1302912 0 0 0 0 9.21872138977051 1718199577.66832 5378
4608 4.5 4090.09543755193 4090.09543755193 9.68894290924072 3.96078777313232 3.74552392959595 0 5.94589304924011 27 543819.089376905 543819.089376905 2153952 2153952 267001.43016339 267001.43016339 1057536 1057536 142.342312210768 223503.677689469 4284.40264554964 219219.27504392 850 1328577 25665 1302912 0 0 0 0 9.64693641662598 1718199578.10048 6017
5120 5 4065.67989221872 4065.67989221872 10.1554589271545 4.42730379104614 4.1793487071991 0 6.00360560417175 30 540572.798469401 540572.798469401 2393280 2393280 265407.583364038 265407.583364038 1175040 1175040 151.938295409613 223388.952155229 4501.42300089649 218887.529154332 948 1343830 27094 1316736 0 0 0 0 10.1088442802429 1718199578.56699 6656
5632 5.5 4060.09192003898 4060.09192003898 10.6048920154572 4.87673687934875 4.59492945671082 0 6.0123507976532 33 539829.821688383 539829.821688383 2632608 2632608 265042.800540145 265042.800540145 1292544 1292544 161.398676034737 223798.898387907 4706.68489587073 219092.213492037 974 1345223 28487 1316736 0 0 0 0 10.5538241863251 1718199579.01643 7295
6144 6 4028.98110237859 4028.98110237859 11.0893120765686 5.36115694046021 5.02359056472778 0 6.11582589149475 36 535693.327372258 535693.327372258 2871936 2871936 263011.886363275 263011.886363275 1410048 1410048 177.06055213769 240781.413579399 4901.14818854878 235880.26539085 1156 1771746 29922 1741824 0 0 0 0 11.0325245857239 1718199579.50085 7934
6656 6.5 3927.31458122881 3927.31458122881 11.6864249706268 5.95826983451843 5.56435656547546 0 6.12420129776001 39 522175.746720182 522175.746720182 3111264 3111264 256375.095862617 256375.095862617 1527552 1527552 192.418627503211 289598.364910162 5082.75928015062 284515.605630012 1182 1773141 31317 1741824 0 0 0 0 11.6252627372742 1718199580.09796 8573
7168 7 3942.54526264385 3927.5936022112 12.1199650764465 6.39180994033813 5.96570563316345 0 6.1797935962677 42 524200.818121127 524200.818121127 3350592 3350592 257369.354745391 257369.354745391 1645056 1645056 201.486468262785 289160.055145589 5290.31970459657 283869.735440993 1280 1788398 32750 1755648 0 0 0 0 12.0542278289795 1718199580.5315 9212
7680 7.5 3974.05509596901 3929.09303507275 12.5222229957581 6.79406785964966 6.33625411987305 0 6.1881959438324 45 528390.36556004 528390.36556004 3589920 3589920 259426.316664857 259426.316664857 1762560 1762560 210.476325717647 289298.901418085 5487.58014808851 283811.321269997 1306 1789795 34147 1755648 0 0 0 0 12.4520592689514 1718199580.93376 9851
8192 8 3980.37239014505 3932.05131804909 12.9636590480804 7.23550391197205 6.7173330783844 0 6.29788732528687 48 529230.312993685 529230.312993685 3829248 3829248 259838.709628669 259838.709628669 1880064 1880064 225.092319360403 304992.888498373 5665.57047641913 299327.318021954 1488 2216317 35581 2180736 0 0 0 0 12.8887505531311 1718199581.3752 10490
8704 8.5 3977.02323461898 3934.20209525551 13.4223520755768 7.69419693946838 7.11829209327698 0 6.30820870399475 51 528785.009274939 528785.009274939 4068576 4068576 259620.076755927 259620.076755927 1997568 1997568 239.528177752067 351758.23298417 5832.59044222898 345925.642541941 1514 2217706 36970 2180736 0 0 0 0 13.3418915271759 1718199581.83389 11129
9216 9 3951.09955455748 3935.16791305347 13.9284040927887 8.2002489566803 7.5866527557373 0 6.36724734306335 54 525338.196773963 525338.196773963 4307904 4307904 257927.778921513 257927.778921513 2115072 2115072 247.881053111569 350713.057291539 6025.93794189479 344687.119349644 1612 2232964 38404 2194560 0 0 0 0 13.8229703903198 1718199582.33994 11768
9728 9.5 3961.20252051927 3935.56827192179 14.3618969917297 8.63374185562134 7.9883177280426 0 6.3761293888092 57 526681.487128243 526681.487128243 4547232 4547232 258587.300539498 258587.300539498 2232576 2232576 256.370860453491 350533.963345979 6212.52178122181 344321.441564758 1638 2234357 39797 2194560 0 0 0 0 14.27175116539 1718199582.77343 12407
10240 10 3947.59612888376 3936.34607736804 14.847629070282 9.11947393417358 8.41690802574158 0 6.47789478302002 60 524872.381296385 524872.381296385 4786560 4786560 257699.075293532 257699.075293532 2350080 2350080 270.265183011715 365377.067940898 6380.31096603606 358996.756974862 1820 2660879 41231 2619648 0 0 0 0 14.7528278827667 1718199583.25917 13046
10752 10.5 3927.00959834895 3935.64572133608 15.3538000583649 9.62564492225647 8.86969876289368 0 6.48752641677856 63 522135.196196477 522135.196196477 5025888 5025888 256355.18658022 256355.18658022 2467584 2467584 284.079460832381 410560.520061485 6549.55838362083 404010.961677864 1846 2662325 42677 2619648 0 0 0 0 15.2540085315704 1718199583.76534 13685
11264 11 3909.39333692793 3934.60614052846 15.8576040267944 10.129448890686 9.33674263954163 0 6.54890036582947 66 519792.938077938 519792.938077938 5265216 5265216 255205.197034655 255205.197034655 2585088 2585088 291.985964265703 409269.855853253 6741.44064554637 402528.415207707 1944 2677630 44158 2633472 0 0 0 0 15.7517642974854 1718199584.26914 14324
11776 11.5 3896.31478628385 3932.72663075724 16.3535799980164 10.625424861908 9.79811573028564 0 6.55772137641907 69 518054.0139843 518054.0139843 5504544 5504544 254351.42924861 254351.42924861 2702592 2702592 299.902481305197 408646.876955267 6925.21507949815 401721.661875769 1970 2679076 45604 2633472 0 0 0 0 16.2447707653046 1718199584.76512 14963
12288 12 3888.88384566658 3930.82873284764 16.8367409706116 11.1085858345032 10.2242770195007 0 6.65929007530212 72 517065.996119828 517065.996119828 5743872 5743872 253866.337445114 253866.337445114 2820096 2820096 313.045184866718 422596.330302952 7090.09536333639 415506.234939616 2152 3105644 47084 3058560 0 0 0 0 16.7233030796051 1718199585.24828 15602
12800 12.5 3878.98668884487 3928.28256591408 17.3291230201721 11.6009678840637 10.6628725528717 0 6.6685733795166 75 515750.070148814 515750.070148814 5983200 5983200 253220.251047793 253220.251047793 2937600 2937600 326.120359663052 466061.846196753 7249.20256702713 458812.643629726 2178 3107093 48533 3058560 0 0 0 0 17.21142578125 1718199585.74066 16241
13312 13 3863.42021957086 3925.65924692795 17.8417739868164 12.113618850708 11.140020608902 0 6.7350115776062 78 513680.352394141 513680.352394141 6222528 6222528 252204.071933586 252204.071933586 3055104 3055104 333.644029242962 464588.418049029 7432.83096094797 457155.587088081 2276 3122397 50013 3072384 0 0 0 0 17.7143406867981 1718199586.25331 16880
13824 13.5 3822.24129146242 3920.7637453177 18.4432079792023 12.7150528430939 11.7005288600922 0 6.74672627449036 81 508205.202112843 508205.202112843 6461856 6461856 249515.911506667 249515.911506667 3172608 3172608 340.81408286018 463263.036075229 7600.83626918374 455662.199806045 2302 3123842 51458 3072384 0 0 0 0 18.3134083747864 1718199586.85474 17519
14336 14 3810.88661461117 3916.5798666912 18.9534239768982 13.2252688407898 12.1467876434326 0 6.86239647865295 84 506695.484278701 506695.484278701 6701184 6701184 248774.678201817 248774.678201817 3290112 3290112 352.890896813497 475884.539926755 7748.46743915098 468136.072487604 2484 3550413 52941 3497472 0 0 0 0 18.8179180622101 1718199587.36496 18158
14848 14.5 3817.39350593156 3912.97235287331 19.4024069309235 13.6742517948151 12.5331695079803 0 6.87147426605225 87 507560.64054866 507560.64054866 6940512 6940512 249199.448067212 249199.448067212 3407616 3407616 364.814876194264 517037.013182506 7887.04723162524 509149.96595088 2510 3551859 54387 3497472 0 0 0 0 19.2626528739929 1718199587.81394 18797
