# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 12 2024 at 15:46:38+0200
# parameter filename: "TOV_lev3_r12_r10.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
# Run ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
#
# ADMBASE::alp (admbase-lapse)
# 1:iteration 2:time 3:data
# data columns: 3:alp
0 0 0.66986122441249
512 0.5 0.669862472313011
1024 1 0.669867579810387
1536 1.5 0.669873178862658
2048 2 0.669876069062602
2560 2.5 0.669878060733784
3072 3 0.669879377526786
3584 3.5 0.669878105050324
4096 4 0.669875264055094
4608 4.5 0.669872058340848
5120 5 0.669867105209935
5632 5.5 0.669860652475136
6144 6 0.669854489619126
6656 6.5 0.669847986151386
7168 7 0.669840506072912
7680 7.5 0.66983341362572
8192 8 0.66982624882377
8704 8.5 0.669819879518751
9216 9 0.669822054676658
9728 9.5 0.669829644840691
10240 10 0.66982262734323
10752 10.5 0.669811396733201
11264 11 0.669821381841433
11776 11.5 0.669834204418889
12288 12 0.66983116870805
12800 12.5 0.669817781090111
13312 13 0.669809445968169
13824 13.5 0.66980861606974
14336 14 0.669804148238492
14848 14.5 0.669792600745018
15360 15 0.669785491615348
15872 15.5 0.66978996656934
16384 16 0.669787109711862
16896 16.5 0.669778461256956
17408 17 0.669778722563343
17920 17.5 0.669783486448005
18432 18 0.66977918624493
18944 18.5 0.669776588927041
19456 19 0.669781139236729
19968 19.5 0.669780716799675
20480 20 0.669776584331854
20992 20.5 0.669784276790401
21504 21 0.669800554006929
22016 21.5 0.669834763216163
22528 22 0.669911806465977
23040 22.5 0.670024185126591
23552 23 0.670153969079154
24064 23.5 0.670289637794928
24576 24 0.670407399176778
25088 24.5 0.670499464675791
25600 25 0.670580021780567
26112 25.5 0.670663863268987
26624 26 0.670752738901095
27136 26.5 0.670839736917445
27648 27 0.670915145037435
28160 27.5 0.670974708069144
28672 28 0.671036515762587
29184 28.5 0.671108307948812
29696 29 0.67117294216711
30208 29.5 0.671221977111571
30720 30 0.671255703391797
31232 30.5 0.671279036029097
31744 31 0.671301256917154
32256 31.5 0.671319859417499
32768 32 0.671333335802377
33280 32.5 0.671339296560458
33792 33 0.671341256383217
34304 33.5 0.671352710517798
34816 34 0.67136089681612
35328 34.5 0.671359956822273
35840 35 0.671362476609338
36352 35.5 0.671365298018978
36864 36 0.671370666610616
37376 36.5 0.671382141538036
37888 37 0.671389014399834
38400 37.5 0.671394853083649
38912 38 0.671406731950801
39424 38.5 0.671421321881737
39936 39 0.671436764224369
40448 39.5 0.671445932319917
40960 40 0.671459620339462
41472 40.5 0.671483465439281
41984 41 0.671505004903299
42496 41.5 0.671523337969529
43008 42 0.671541321408244
43520 42.5 0.671555780276156
44032 43 0.671567126143953
44544 43.5 0.671583862582777
45056 44 0.671605338100633
45568 44.5 0.67162731374067
46080 45 0.671649698308105
46592 45.5 0.671668090372179
47104 46 0.671681577599428
47616 46.5 0.671699360227695
48128 47 0.671716324116631
48640 47.5 0.671732934942822
49152 48 0.671751558696697
49664 48.5 0.671760568507515
50176 49 0.671770771536393
50688 49.5 0.67178494722982
51200 50 0.671793588337108
51712 50.5 0.671800711753645
52224 51 0.671807914289351
52736 51.5 0.671815280365565
53248 52 0.671817536465905
53760 52.5 0.671817094528876
54272 53 0.671817150140258
54784 53.5 0.671819441895402
55296 54 0.671818480965148
55808 54.5 0.671809869529061
56320 55 0.671803380471009
56832 55.5 0.671795522946212
57344 56 0.671789352330038
57856 56.5 0.671783444271484
58368 57 0.671771484682139
58880 57.5 0.671756821008938
59392 58 0.671742541189619
59904 58.5 0.671730482953789
60416 59 0.671717412141861
60928 59.5 0.671696899237383
61440 60 0.67167283901899
61952 60.5 0.671656700366349
62464 61 0.671644239455758
62976 61.5 0.671632452371924
63488 62 0.671616379681821
64000 62.5 0.67159353769639
64512 63 0.671575049331808
65024 63.5 0.671555913176938
65536 64 0.671528122002762
66048 64.5 0.671504962681865
66560 65 0.671498019238291
67072 65.5 0.67149852788363
67584 66 0.671491940265334
68096 66.5 0.671477017811847
68608 67 0.671458773685479
69120 67.5 0.671440127179082
69632 68 0.671423346223252
70144 68.5 0.671415243572256
70656 69 0.671414939157225
71168 69.5 0.671405770478447
71680 70 0.671386610836299
72192 70.5 0.671367850589933
72704 71 0.67135701815446
73216 71.5 0.671352229733202
73728 72 0.671346534590377
74240 72.5 0.671337033786326
74752 73 0.671322552151157
75264 73.5 0.671309115240172
75776 74 0.671301146256441
76288 74.5 0.671296084101633
76800 75 0.671292630299817
77312 75.5 0.671284631333962
77824 76 0.671272315183066
78336 76.5 0.671264999298245
78848 77 0.671261221124594
79360 77.5 0.671258558605604
79872 78 0.671257465974302
80384 78.5 0.671250960531311
80896 79 0.671241188056246
81408 79.5 0.67123758193368
81920 80 0.671238843074971
82432 80.5 0.671239414551258
82944 81 0.671235328485548
83456 81.5 0.671227525337602
83968 82 0.671225125304797
84480 82.5 0.671230295227468
84992 83 0.671233360827978
85504 83.5 0.671229156551409
86016 84 0.671224118076082
86528 84.5 0.671224952333954
87040 85 0.671229504389781
87552 85.5 0.671231200626431
88064 86 0.671229869433235
88576 86.5 0.671228029041343
89088 87 0.671226559881561
89600 87.5 0.671228689341038
90112 88 0.671231071559375
90624 88.5 0.671230734419905
91136 89 0.671228311727008
91648 89.5 0.671224498884543
92160 90 0.671225452817639
92672 90.5 0.671228452941376
93184 91 0.671225837066664
93696 91.5 0.671218731534882
94208 92 0.671216996367737
94720 92.5 0.67122169178105
95232 93 0.671218151059137
95744 93.5 0.671207027302927
96256 94 0.671203782938394
96768 94.5 0.671206555118628
97280 95 0.671202336359003
97792 95.5 0.67119127100478
98304 96 0.671184775735048
98816 96.5 0.671181754232835
99328 97 0.671175310989312
99840 97.5 0.671167720433965
100352 98 0.671160278636741
100864 98.5 0.671151080627726
101376 99 0.671142226589009
101888 99.5 0.671135044194846
102400 100 0.671126728314041
102912 100.5 0.671116177084747
103424 101 0.671103821683747
103936 101.5 0.671093759397312
104448 102 0.671086250765375
104960 102.5 0.671074456292286
105472 103 0.671061486382742
105984 103.5 0.671051861733589
106496 104 0.671040461178004
107008 104.5 0.671027195844372
107520 105 0.671014854264001
108032 105.5 0.671002085511509
108544 106 0.6709880144635
109056 106.5 0.670975355402749
109568 107 0.67096405977318
110080 107.5 0.670950479428051
110592 108 0.67093675197066
111104 108.5 0.670923740069928
111616 109 0.670908842526884
112128 109.5 0.670894576024715
112640 110 0.670880766107148
113152 110.5 0.670867078195146
113664 111 0.670854074531632
114176 111.5 0.67084008948522
114688 112 0.670825498432121
115200 112.5 0.670810700836639
115712 113 0.6707976120618
116224 113.5 0.670783750511342
116736 114 0.670769702561663
117248 114.5 0.670756240619805
117760 115 0.670742369077542
118272 115.5 0.670730295970206
118784 116 0.670716808111499
119296 116.5 0.670702545894002
119808 117 0.670689615329765
120320 117.5 0.670677878076628
120832 118 0.670666696768635
121344 118.5 0.670653033425075
121856 119 0.67063968957248
122368 119.5 0.670629374463606
122880 120 0.670619838787495
123392 120.5 0.670608402537142
123904 121 0.670595990916881
124416 121.5 0.670587115637165
124928 122 0.670579024463245
125440 122.5 0.670568461156238
125952 123 0.670558996708727
126464 123.5 0.670552425742612
126976 124 0.670545024714418
127488 124.5 0.670535135124286
128000 125 0.67052898108709
128512 125.5 0.67052607288359
129024 126 0.670518350028816
129536 126.5 0.670510601570628
130048 127 0.670508912157657
130560 127.5 0.670505364173316
131072 128 0.670499167757223
131584 128.5 0.670496566954656
132096 129 0.670494894258052
