# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 12 2024 at 15:46:38+0200
# parameter filename: "TOV_lev3_r12_r10.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
# Run ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
0 0 0 0 0
512 0.5 5.27236375769304e-07 5.27236375769296e-07 5.27236375769291e-07
1024 1 1.19766539057906e-06 1.1976653912586e-06 1.19766539185025e-06
1536 1.5 2.63172952043776e-06 2.63172952043776e-06 2.63172952043776e-06
2048 2 4.26960098171628e-06 4.26960098171628e-06 4.26960098171628e-06
2560 2.5 5.14289712119942e-06 5.14289712119941e-06 5.14289712119941e-06
3072 3 5.8885113751637e-06 5.88851137516369e-06 5.88851137516368e-06
3584 3.5 6.57217378218357e-06 6.57217378218356e-06 6.57217378218355e-06
4096 4 6.75057743389285e-06 6.75057743389286e-06 6.75057743389288e-06
4608 4.5 7.09881329011655e-06 7.09881329011667e-06 7.09881329011783e-06
5120 5 7.22136704297823e-06 7.22136704310113e-06 7.22136704322261e-06
5632 5.5 7.21818091397119e-06 7.2181809131293e-06 7.21818091355462e-06
6144 6 7.29780485740794e-06 7.29780483849545e-06 7.2978049659996e-06
6656 6.5 6.88453111904969e-06 6.8845311197186e-06 6.88453112033382e-06
7168 7 8.17057405116546e-06 8.17057405184526e-06 8.17057405299754e-06
7680 7.5 9.43065442547461e-06 9.43065442955026e-06 9.43065443377424e-06
8192 8 9.78498783131207e-06 9.78498783616281e-06 9.7849878363473e-06
8704 8.5 1.12347054259427e-05 1.12347053238359e-05 1.12347051895285e-05
9216 9 1.23738237920668e-05 1.23738236890602e-05 1.23738235608275e-05
9728 9.5 1.25724612302667e-05 1.25724610632219e-05 1.25724610014043e-05
10240 10 1.18564516905832e-05 1.18564515838182e-05 1.18564515781837e-05
10752 10.5 1.24843823163209e-05 1.24843824226868e-05 1.24843826287533e-05
11264 11 1.32682661796504e-05 1.32682662664718e-05 1.32682664063413e-05
11776 11.5 1.2971637779532e-05 1.29716379372721e-05 1.29716380039131e-05
12288 12 1.26850509979359e-05 1.26850514306958e-05 1.26850514037252e-05
12800 12.5 1.37070972752225e-05 1.37070971277559e-05 1.37070966665786e-05
13312 13 1.31806442474263e-05 1.31806406457415e-05 1.31806388191125e-05
