# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 12 2024 at 15:46:38+0200
# parameter filename: "TOV_lev3_r12_r10.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
# Run ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
0 0 0 0 0
512 0.5 -5.94728457181861e-07 -5.94728457181878e-07 -5.94728457181878e-07
1024 1 -8.42757742769142e-07 -8.42757742779769e-07 -8.4275774278131e-07
1536 1.5 -8.47579398612596e-07 -8.47579398613804e-07 -8.47579398619249e-07
2048 2 -1.88762746059259e-06 -1.88762746087976e-06 -1.88762746099663e-06
2560 2.5 -2.09929554542015e-06 -2.0992955443753e-06 -2.09929554655498e-06
3072 3 -1.63271329665472e-06 -1.63271329673251e-06 -1.63271329676562e-06
3584 3.5 -1.81782620649746e-06 -1.81782616698417e-06 -1.81782617495406e-06
4096 4 -2.65720860896921e-06 -2.65720859336999e-06 -2.65720859091159e-06
4608 4.5 -3.46269958047611e-06 -3.46269955440082e-06 -3.46269953544603e-06
5120 5 -3.82516278481945e-06 -3.82516281616601e-06 -3.82516280358366e-06
5632 5.5 -5.09408517727967e-06 -5.09408529269919e-06 -5.09408459268293e-06
6144 6 -6.44396175576747e-06 -6.4439612689796e-06 -6.44396012300111e-06
6656 6.5 -7.11914135182156e-06 -7.1191415110812e-06 -7.1191415970638e-06
7168 7 -7.80008324543445e-06 -7.80008377461384e-06 -7.80008504205937e-06
7680 7.5 -9.11517015296646e-06 -9.11517024445975e-06 -9.11517093850821e-06
8192 8 -1.001131056584e-05 -1.00113103456292e-05 -1.00113108538681e-05
8704 8.5 -1.126634980549e-05 -1.12663488386741e-05 -1.12663490757852e-05
9216 9 -1.26450146792287e-05 -1.26450184680286e-05 -1.26450205237299e-05
9728 9.5 -1.36508298528987e-05 -1.36508294311041e-05 -1.36508305652844e-05
10240 10 -1.4644971904623e-05 -1.46449684801264e-05 -1.46449672846542e-05
10752 10.5 -1.62928107256857e-05 -1.62928108380736e-05 -1.62928132614868e-05
11264 11 -1.73988595326599e-05 -1.73988649576882e-05 -1.73988750366111e-05
11776 11.5 -1.8611254740313e-05 -1.86112607548801e-05 -1.86112719782809e-05
12288 12 -1.97891629562907e-05 -1.9789166373544e-05 -1.97891908355542e-05
12800 12.5 -2.11592019708584e-05 -2.11592156216671e-05 -2.11592426671468e-05
13312 13 -2.21644124672246e-05 -2.21644530817136e-05 -2.21644340065296e-05
13824 13.5 -2.29877429713459e-05 -2.29878119924906e-05 -2.29877680579317e-05
14336 14 -2.25582763223692e-05 -2.25583874069031e-05 -2.25583549370367e-05
14848 14.5 -2.17188750121893e-05 -2.17190403418928e-05 -2.1718767151859e-05
15360 15 -2.09644496426591e-05 -2.09644755145507e-05 -2.09642636103546e-05
15872 15.5 -1.99913402619484e-05 -1.99917111893075e-05 -1.99914245650354e-05
16384 16 -2.04427437178765e-05 -2.04432502734451e-05 -2.04427508821996e-05
16896 16.5 -2.14264482722499e-05 -2.14271631204724e-05 -2.14266406360297e-05
17408 17 -2.3422440384763e-05 -2.34233746753391e-05 -2.34226152721543e-05
17920 17.5 -2.47065174899793e-05 -2.4707779140103e-05 -2.47068475237237e-05
18432 18 -2.56252205447636e-05 -2.56261517465782e-05 -2.56254434297837e-05
18944 18.5 -2.53641017498086e-05 -2.53653367377482e-05 -2.53643555638374e-05
19456 19 -2.497855286939e-05 -2.49798426947204e-05 -2.49788274230085e-05
19968 19.5 -2.6335200184504e-05 -2.63368549260045e-05 -2.6335638367799e-05
