# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 12 2024 at 15:46:38+0200
# parameter filename: "TOV_lev3_r12_r10.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
# Run ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
0 0 0 0 5.57560896873474 0 0.222428560256958 0 5.40285205841064 0 0 0 0 0 0 0 0 0 29.1415547574194 79408.4950559096 0 79408.4950559096 238 679911 2103 677808 0 0 0 0 5.57345104217529 1718199998.26909 399
512 0.5 1189.3017855877 1189.3017855877 7.1519410610199 1.51349306106567 1.73748683929443 0 5.42082333564758 7 538040.127799876 538040.127799876 814320 814320 363070.049104213 363070.049104213 549504 549504 48.0196136771739 127877.708748889 2692.79218235844 125184.91656653 264 692585 14777 677808 0 0 0 0 7.14189577102661 1718199999.84542 1907
1024 1 1132.64466231957 1132.64466231957 8.81684994697571 3.17840194702148 3.33228921890259 0 5.51339912414551 14 512408.445233372 512408.445233372 1628640 1628640 345773.762512917 345773.762512917 1099008 1099008 65.2741427709153 129020.907066993 2915.63915377013 126105.267913223 398 715590 16182 699408 0 0 0 0 8.79961681365967 1718200001.51033 3415
1536 1.5 1120.63534284574 1120.63534284574 10.4571430683136 4.81869506835938 4.93241357803345 0 5.52921557426453 21 506975.429103414 506975.429103414 2442960 2442960 342107.557463948 342107.557463948 1648512 1648512 76.0218216546024 129741.012887792 3145.13136445326 126595.881523338 424 716985 17577 699408 0 0 0 0 10.43390583992 1718200003.15062 4923
2048 2 1101.11019689166 1110.74684928558 12.1773030757904 6.53885507583618 6.54150390625 0 5.6837112903595 28 498142.253073786 498142.253073786 3257280 3257280 336146.920907086 336146.920907086 2198016 2198016 106.817149066206 202865.284160442 3337.9471897566 199527.336970686 684 1396220 19004 1377216 0 0 0 0 12.1455907821655 1718200004.87078 6431
2560 2.5 1058.53810796087 1099.71051137112 14.1407399177551 8.5022919178009 8.44424724578857 0 5.70105981826782 35 478882.640041499 478882.640041499 4071600 4071600 323150.513598296 323150.513598296 2747520 2747520 123.935909454312 245310.944904206 3545.33941549475 241765.605488711 710 1397612 20396 1377216 0 0 0 0 14.1011803150177 1718200006.83422 7939
3072 3 1062.90172548515 1092.14217634447 15.7993121147156 10.1608641147614 10.0331034660339 0 5.79577422142029 42 480856.740609483 480856.740609483 4885920 4885920 324482.638756107 324482.638756107 3297024 3297024 139.433039798833 244991.655014597 3751.68526115441 241239.969753443 844 1420641 21825 1398816 0 0 0 0 15.7539567947388 1718200008.49279 9447
3584 3.5 1008.9413023923 1078.63124145932 18.126785993576 12.4883379936218 12.3199183940887 0 5.81143355369568 49 456445.045202275 456445.045202275 5700240 5700240 308009.60079432 308009.60079432 3846528 3846528 149.133760183625 244854.902516726 3964.96038622145 240889.942130505 870 1422041 23225 1398816 0 0 0 0 18.0739285945892 1718200010.82027 10955
4096 4 1006.17947491066 1069.2690708494 19.950010061264 14.3115620613098 14.0214314460754 0 5.98169660568237 56 455195.594449582 455195.594449582 6514560 6514560 307166.470100726 307166.470100726 4396032 4396032 176.770870055615 311772.369057334 4126.28415474285 307646.084902591 1130 2101279 24655 2076624 0 0 0 0 19.8907437324524 1718200012.64349 12463
4608 4.5 1001.55785121841 1060.86335641207 21.8132500648499 16.1748020648956 15.8204560279846 0 5.9975790977478 63 453104.77189121 453104.77189121 7328880 7328880 305755.580819957 305755.580819957 4945536 4945536 192.230868091472 350835.017366922 4314.84877353236 346520.168593389 1156 2102683 26059 2076624 0 0 0 0 21.7468018531799 1718200014.50673 13971
5120 5 986.85655206787 1053.20931873671 23.8781809806824 18.2397329807281 17.8185040950775 0 6.08659434318542 70 446453.904155505 446453.904155505 8143200 8143200 301267.568215279 301267.568215279 5495040 5495040 206.281625835439 349481.835414499 4505.02568294532 344976.809731554 1290 2125716 27492 2098224 0 0 0 0 23.804594039917 1718200016.57166 15479
5632 5.5 968.480554848202 1044.39409583993 26.0828440189362 20.4443960189819 19.9850566387177 0 6.1036114692688 77 438140.603013327 438140.603013327 8957520 8957520 295657.743784059 295657.743784059 6044544 6044544 215.160011032229 348800.9448968 4704.98530222153 344095.959594579 1316 2127114 28890 2098224 0 0 0 0 26.0016007423401 1718200018.77632 16987
6144 6 955.608448625218 1035.77038915761 28.2418479919434 22.6033999919891 22.0218377113342 0 6.26987886428833 84 432317.262158049 432317.262158049 9771840 9771840 291728.147196306 291728.147196306 6594048 6594048 240.192529047346 410521.507972482 4845.00806919064 405676.499903291 1576 2806359 30327 2776032 0 0 0 0 28.1544299125671 1718200020.93533 18495
6656 6.5 962.73309134687 1030.13602489693 29.9442501068115 24.3058021068573 23.659380197525 0 6.28902387619019 91 435540.450525324 435540.450525324 10586160 10586160 293903.158126373 293903.158126373 7143552 7143552 254.261428329455 446717.281427188 5016.4920603073 441700.78936688 1602 2807758 31726 2776032 0 0 0 0 29.8508853912354 1718200022.63773 20003
7168 7 928.50846144185 1021.2802401581 32.7787499427795 27.1403019428253 26.4233872890472 0 6.38482856750488 98 420057.227956293 420057.227956293 11400480 11400480 283455.063108968 283455.063108968 7693056 7693056 266.861246541768 444164.582542311 5187.90221682113 438976.68032549 1736 2830796 33164 2797632 0 0 0 0 32.6785542964935 1718200025.47223 21511
7680 7.5 935.552299219685 1015.7694776289 34.4984059333801 28.8599579334259 28.102103471756 0 6.40202140808105 105 423243.860166986 423243.860166986 12214800 12214800 285605.405905786 285605.405905786 8242560 8242560 274.846289797498 442755.954239365 5373.2605995735 437382.693639792 1762 2832201 34569 2797632 0 0 0 0 34.3918013572693 1718200027.19189 23019
8192 8 933.42117471001 1010.52750085859 36.4926869869232 30.854238986969 29.981705904007 0 6.56378364562988 112 422279.739438809 422279.739438809 13029120 13029120 284954.816215472 284954.816215472 8792064 8792064 297.958168714426 500467.588294775 5500.70711984906 494966.881174925 2022 3511443 36003 3475440 0 0 0 0 36.3792240619659 1718200029.18617 24527
8704 8.5 932.67125191491 1005.91965416191 38.4474360942841 32.8089880943298 31.8695545196533 0 6.58359789848328 119 421940.474366306 421940.474366306 13843440 13843440 284725.879784584 284725.879784584 9341568 9341568 310.738339814934 534008.397710807 5655.92426344169 528352.473447365 2048 3512843 37403 3475440 0 0 0 0 38.3277742862701 1718200031.14092 26035
9216 9 921.808791041477 1000.55018965628 40.7867350578308 35.1482870578766 34.125545501709 0 6.69239234924316 126 417026.297067164 417026.297067164 14657760 14657760 281409.787729142 281409.787729142 9891072 9891072 321.564186389418 529622.219916823 5802.26694862324 523819.9529682 2182 3535881 38841 3497040 0 0 0 0 40.6444807052612 1718200033.48022 27543
9728 9.5 894.816842076082 992.475969306183 43.8585600852966 38.2201120853424 37.1500174999237 0 6.71307373046875 133 404815.13935522 404815.13935522 15472080 15472080 273169.685548986 273169.685548986 10440576 10440576 328.536335866083 527250.733670848 5969.10573204239 521281.627938805 2208 3537285 40245 3497040 0 0 0 0 43.7251620292664 1718200036.55204 29051
10240 10 885.732400512085 986.263597920437 46.2827780246735 40.6443300247192 39.4433486461639 0 6.90812063217163 140 400705.337991667 400705.337991667 16286400 16286400 270396.387228329 270396.387228329 10990080 10990080 348.859512680569 579525.247011728 6066.8803936159 573458.366618112 2468 4216541 41693 4174848 0 0 0 0 46.1391131877899 1718200038.97626 30559
10752 10.5 864.917307972545 977.974879567628 49.3420479297638 43.7035999298096 42.4181978702545 0 6.92791604995728 147 391288.590126779 391288.590126779 17100720 17100720 264041.955777859 264041.955777859 11539584 11539584 359.626505282305 609168.304303073 6202.04071880833 602966.263584265 2494 4217999 43151 4174848 0 0 0 0 49.1936235427856 1718200042.03553 32067
11264 11 851.855140285776 970.690381346063 52.1252250671387 46.4867770671844 45.1117639541626 0 7.04309177398682 154 385379.265465285 385379.265465285 17915040 17915040 260054.337226442 260054.337226442 12089088 12089088 369.004683751902 603570.181941699 6336.95678696659 597233.225154732 2628 4241092 44644 4196448 0 0 0 0 51.9674246311188 1718200044.81871 33575
11776 11.5 849.163811179295 965.018424919328 54.3922920227051 48.7538440227509 47.3344204425812 0 7.06250047683716 161 384161.708177513 384161.708177513 18729360 18729360 259232.728276815 259232.728276815 12638592 12638592 375.467301992689 601078.661157154 6501.67681277001 594576.984344384 2654 4242543 46095 4196448 0 0 0 0 54.2305023670197 1718200047.08577 35083
12288 12 841.818584157754 958.976836480815 56.9559180736542 51.3174700737 49.738165140152 0 7.27933788299561 168 380838.727472968 380838.727472968 19543680 19543680 256990.377371679 256990.377371679 13188096 13188096 392.365882580281 646866.974114414 6565.75535857327 640301.218755841 2914 4921845 47589 4874256 0 0 0 0 56.7843170166016 1718200049.6494 36591
12800 12.5 833.03868522418 952.757389528706 59.6575479507446 54.0190999507904 52.3648555278778 0 7.29799461364746 175 376866.701195419 376866.701195419 20358000 20358000 254310.049825238 254310.049825238 13737600 13737600 402.594793494092 675071.251402742 6695.88091318461 668375.370489557 2940 4923296 49040 4874256 0 0 0 0 59.4827229976654 1718200052.35103 38099
13312 13 818.93756102499 945.649833747041 62.7856619358063 57.1472139358521 55.4152431488037 0 7.40314960479736 182 370487.352607706 370487.352607706 21172320 21172320 250005.258629709 250005.258629709 14287104 14287104 411.64553706912 670030.719110382 6828.24157682188 663202.47753356 3074 4946384 50528 4895856 0 0 0 0 62.6028127670288 1718200055.47914 39607
