# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 12 2024 at 15:46:38+0200
# parameter filename: "TOV_lev3_r12_r10.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
# Run ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
#
# HYDROBASE::press (hydrobase-press)
# 1:iteration 2:time 3:data
# data columns: 3:press
0 0 0.000163839998067005
512 0.5 0.000163476792407791
1024 1 0.000163121013871225
1536 1.5 0.00016281261961057
2048 2 0.000162575503532121
2560 2.5 0.000162421923238518
3072 3 0.000162351681170301
3584 3.5 0.000162356042595086
4096 4 0.000162420097872287
4608 4.5 0.0001625264012914
5120 5 0.000162657785288516
5632 5.5 0.000162798213235315
6144 6 0.000162934075044854
6656 6.5 0.000163055603307483
7168 7 0.000163156664375893
7680 7.5 0.00016323434947316
8192 8 0.000163289220620972
8704 8.5 0.000163324560150503
9216 9 0.000163344344094235
9728 9.5 0.000163352727386976
10240 10 0.00016335488806228
10752 10.5 0.000163355417826495
11264 11 0.000163356833569985
11776 11.5 0.000163361667033985
12288 12 0.000163371343412393
12800 12.5 0.000163385552336065
13312 13 0.000163403528344411
13824 13.5 0.000163425045414998
14336 14 0.000163449495273145
14848 14.5 0.000163475342253652
15360 15 0.000163500277257487
15872 15.5 0.00016352315269415
16384 16 0.000163544648192578
16896 16.5 0.000163563175386787
17408 17 0.000163577355937166
17920 17.5 0.000163588237745019
18432 18 0.000163597025598406
18944 18.5 0.000163602312522367
19456 19 0.000163604489266136
19968 19.5 0.000163605783686816
20480 20 0.000163606262603134
20992 20.5 0.000163605412302805
21504 21 0.000163606182164474
22016 21.5 0.000163609515251394
22528 22 0.0001636140962851
23040 22.5 0.000163620680345995
23552 23 0.000163627730798056
24064 23.5 0.000163631184501184
24576 24 0.000163629805153052
25088 24.5 0.000163623566820356
25600 25 0.000163612681307351
26112 25.5 0.00016359884636541
26624 26 0.000163584363413401
27136 26.5 0.000163569220574485
27648 27 0.000163552830055089
28160 27.5 0.000163536089558581
28672 28 0.000163518567021299
29184 28.5 0.000163500191412948
29696 29 0.000163481390644188
30208 29.5 0.000163460744548515
30720 30 0.000163437111469831
31232 30.5 0.000163410508765659
31744 31 0.000163381511846671
32256 31.5 0.000163350119423817
32768 32 0.000163314873470123
33280 32.5 0.000163275599513657
33792 33 0.000163231733617462
34304 33.5 0.000163181670698182
34816 34 0.000163125918742845
35328 34.5 0.00016306359550268
35840 35 0.000162993072051228
36352 35.5 0.00016291507002617
36864 36 0.000162829624495258
37376 36.5 0.000162735979738721
37888 37 0.000162634913133021
38400 37.5 0.00016252667822857
38912 38 0.000162411588594735
39424 38.5 0.000162290744934825
39936 39 0.000162164892243949
40448 39.5 0.000162035671076474
40960 40 0.000161903402859737
41472 40.5 0.000161769286381563
41984 41 0.000161635339147612
42496 41.5 0.000161501932212977
43008 42 0.000161369536543254
43520 42.5 0.000161239869797119
44032 43 0.000161114780756664
44544 43.5 0.00016099516644888
45056 44 0.000160882100726849
45568 44.5 0.000160776280050316
46080 45 0.000160678065561364
46592 45.5 0.000160588221350509
47104 46 0.000160507291115841
47616 46.5 0.0001604354355838
48128 47 0.000160373826900566
48640 47.5 0.000160322080377577
49152 48 0.000160279684403233
49664 48.5 0.000160247728852095
50176 49 0.000160225262201394
50688 49.5 0.000160212081471236
51200 50 0.000160208728111356
51712 50.5 0.000160214511088606
52224 51 0.000160228958270289
52736 51.5 0.000160251471932503
53248 52 0.000160282124133463
53760 52.5 0.000160320100086804
54272 53 0.000160364918319549
54784 53.5 0.000160415907692558
55296 54 0.000160472515391367
55808 54.5 0.000160533938059129
56320 55 0.000160599052141722
56832 55.5 0.000160668271265089
57344 56 0.000160740293566888
57856 56.5 0.00016081447593788
58368 57 0.000160890399846815
58880 57.5 0.000160967151161165
59392 58 0.000161044608387252
59904 58.5 0.000161122207127896
60416 59 0.000161199290927596
60928 59.5 0.000161275772393308
61440 60 0.000161351273523386
61952 60.5 0.000161425257191069
62464 61 0.000161498109450605
62976 61.5 0.00016156889077574
63488 62 0.000161636996093195
64000 62.5 0.000161702573364892
64512 63 0.000161764830033347
65024 63.5 0.000161824102409586
65536 64 0.000161881317388929
66048 64.5 0.000161936102923981
66560 65 0.000161988146125335
67072 65.5 0.000162037736996817
67584 66 0.000162084322218087
68096 66.5 0.00016212675189346
68608 67 0.000162165228235508
69120 67.5 0.000162200886422887
69632 68 0.000162234318332382
70144 68.5 0.000162265282682921
70656 69 0.000162293582554963
71168 69.5 0.000162319125939105
71680 70 0.000162341361583078
72192 70.5 0.000162360864444358
72704 71 0.000162378096432472
73216 71.5 0.000162393303965805
73728 72 0.000162406491913133
74240 72.5 0.000162416978049601
74752 73 0.000162424747423135
75264 73.5 0.000162430313684192
75776 74 0.00016243429519234
76288 74.5 0.000162436657631176
76800 75 0.000162436875448917
77312 75.5 0.00016243540326847
77824 76 0.000162432202843621
78336 76.5 0.00016242713359779
78848 77 0.000162421263401943
79360 77.5 0.000162414437430613
79872 78 0.000162405929012239
80384 78.5 0.000162396347851888
80896 79 0.000162385898739214
81408 79.5 0.000162374510646845
81920 80 0.000162362693011872
82432 80.5 0.000162350390195724
82944 81 0.000162337388773112
83456 81.5 0.000162323902437202
83968 82 0.000162310125357911
84480 82.5 0.00016229632719818
84992 83 0.000162282474785423
85504 83.5 0.000162268440538736
86016 84 0.000162254172523687
86528 84.5 0.000162239919446873
87040 85 0.000162226168318506
87552 85.5 0.000162212930141671
88064 86 0.000162199646380571
88576 86.5 0.000162186472466771
89088 87 0.000162174125992112
89600 87.5 0.000162162382357059
90112 88 0.000162151280859134
90624 88.5 0.000162140927241321
91136 89 0.000162131217992064
91648 89.5 0.000162122454065946
92160 90 0.000162114633424493
92672 90.5 0.000162107923726417
93184 91 0.00016210228630368
93696 91.5 0.000162097832830885
94208 92 0.000162094508673634
94720 92.5 0.000162092184761747
95232 93 0.000162091495091192
95744 93.5 0.00016209223729176
96256 94 0.00016209387200061
96768 94.5 0.000162096882910697
97280 95 0.000162101786115801
97792 95.5 0.000162108069021425
98304 96 0.000162115109087237
98816 96.5 0.000162123786953542
99328 97 0.000162134447369782
99840 97.5 0.000162146256258315
100352 98 0.000162159091735055
100864 98.5 0.00016217352628561
101376 99 0.000162189466211613
101888 99.5 0.0001622066092403
102400 100 0.000162225114993262
102912 100.5 0.000162244899488005
103424 101 0.000162265998085736
103936 101.5 0.000162288347085474
104448 102 0.000162311901477686
104960 102.5 0.000162336946023144
105472 103 0.000162363098735802
105984 103.5 0.000162390110699514
106496 104 0.000162418489190776
107008 104.5 0.000162448085292276
107520 105 0.000162478504851859
108032 105.5 0.000162509948129875
108544 106 0.000162542629799004
109056 106.5 0.000162576220619968
109568 107 0.000162610566959122
110080 107.5 0.000162645915920611
110592 108 0.000162681955772423
111104 108.5 0.00016271856481663
111616 109 0.000162755920872271
112128 109.5 0.000162793725627963
112640 110 0.00016283213534296
113152 110.5 0.000162871060176817
113664 111 0.000162910280298799
114176 111.5 0.000162949779640907
114688 112 0.00016298943975012
115200 112.5 0.000163029332100734
115712 113 0.000163069188909509
116224 113.5 0.000163109148141554
116736 114 0.000163149058400616
117248 114.5 0.000163188813812001
117760 115 0.000163228430918553
118272 115.5 0.000163267636896798
118784 116 0.000163306621766737
119296 116.5 0.000163345170127089
119808 117 0.000163383200870747
120320 117.5 0.000163420721737988
120832 118 0.000163457566185352
121344 118.5 0.00016349385254155
121856 119 0.000163529270943472
122368 119.5 0.000163563724021214
122880 120 0.000163597376368401
123392 120.5 0.000163630099832326
123904 121 0.000163661639784924
124416 121.5 0.00016369179983101
124928 122 0.000163720851672632
125440 122.5 0.000163748656882142
125952 123 0.000163774870803465
126464 123.5 0.000163799445422524
126976 124 0.000163822478948296
127488 124.5 0.000163844083845353
128000 125 0.00016386371429745
128512 125.5 0.00016388130006987
129024 126 0.000163897416247768
129536 126.5 0.000163911568775998
130048 127 0.000163923311589389
130560 127.5 0.000163933315245543
131072 128 0.000163941530210024
131584 128.5 0.000163947364110657
132096 129 0.000163951116414304
132608 129.5 0.000163953050025281
133120 130 0.000163952943341689
133632 130.5 0.000163950684047571
134144 131 0.000163946392363636
134656 131.5 0.000163940423972896
135168 132 0.000163932493726965
135680 132.5 0.000163922503517255
136192 133 0.000163911067002487
136704 133.5 0.000163898032433977
137216 134 0.000163883075437489
137728 134.5 0.00016386668494855
138240 135 0.000163849119900582
138752 135.5 0.000163830118411215
139264 136 0.000163809717618305
139776 136.5 0.000163788362898834
140288 137 0.000163766092494837
140800 137.5 0.000163742614602832
141312 138 0.000163718387987741
141824 138.5 0.000163693605896733
142336 139 0.000163668020486235
142848 139.5 0.000163641955532473
143360 140 0.000163615529150922
143872 140.5 0.000163588602283859
144384 141 0.000163561481983588
144896 141.5 0.000163534358223864
145408 142 0.000163506980102605
145920 142.5 0.000163479564170991
146432 143 0.000163452470021786
146944 143.5 0.000163425372192277
147456 144 0.000163398367161413
147968 144.5 0.000163371821513044
148480 145 0.000163345644975939
148992 145.5 0.000163319726913168
149504 146 0.000163294225656171
150016 146.5 0.000163269247896479
150528 147 0.000163244747470309
151040 147.5 0.000163220828481731
151552 148 0.000163197356040488
152064 148.5 0.00016317439440236
152576 149 0.000163152160865864
153088 149.5 0.000163130457849866
153600 150 0.000163109264427582
154112 150.5 0.000163088681498873
154624 151 0.000163068761228579
155136 151.5 0.000163049430030535
155648 152 0.000163030596092818
156160 152.5 0.000163012347549741
156672 153 0.00016299474736245
157184 153.5 0.000162977785701479
157696 154 0.000162961316535648
158208 154.5 0.000162945402806585
158720 155 0.000162930146543801
159232 155.5 0.000162915527767124
159744 156 0.000162901427970352
160256 156.5 0.000162887832396427
160768 157 0.000162875006816756
161280 157.5 0.000162862740339911
161792 158 0.000162850937936677
162304 158.5 0.000162839867378023
162816 159 0.000162829406989554
163328 159.5 0.00016281938802549
163840 160 0.000162809937286483
164352 160.5 0.000162801273234644
164864 161 0.000162793096109363
165376 161.5 0.000162785189262929
165888 162 0.000162777999338729
166400 162.5 0.000162771450697315
166912 163 0.000162765092012419
167424 163.5 0.00016275913041842
167936 164 0.00016275375946202
168448 164.5 0.000162748696577569
168960 165 0.000162743744278558
169472 165.5 0.000162739089462562
169984 166 0.000162734793095077
170496 166.5 0.000162730510541238
171008 167 0.000162726226992137
171520 167.5 0.000162722049691679
172032 168 0.000162717840577638
172544 168.5 0.000162713524727064
173056 169 0.000162709025744458
173568 169.5 0.000162704248287561
174080 170 0.000162699238402928
174592 170.5 0.000162694011388554
175104 171 0.000162688244681075
175616 171.5 0.000162681966145717
176128 172 0.000162675393703218
176640 172.5 0.000162668307423881
177152 173 0.000162660544864665
177664 173.5 0.000162652129342718
178176 174 0.000162643261658848
178688 174.5 0.000162633841700407
179200 175 0.000162623559414808
179712 175.5 0.000162612672435795
180224 176 0.000162601313379429
180736 176.5 0.000162589279677954
181248 177 0.000162576463298792
181760 177.5 0.000162563153868467
182272 178 0.000162549428892811
182784 178.5 0.00016253500018111
183296 179 0.000162520024661303
183808 179.5 0.00016250469426533
184320 180 0.000162488974117071
184832 180.5 0.000162472818836891
185344 181 0.000162456319037602
185856 181.5 0.000162439592946028
186368 182 0.00016242264333285
186880 182.5 0.000162405541417077
187392 183 0.000162388348867107
187904 183.5 0.000162371031748266
188416 184 0.000162353776860519
188928 184.5 0.000162336641839512
189440 185 0.000162319523174241
189952 185.5 0.000162302569771057
190464 186 0.000162285919845699
190976 186.5 0.000162269475862487
191488 187 0.000162253256634959
192000 187.5 0.000162237540289527
192512 188 0.000162222123054029
193024 188.5 0.000162206993915862
193536 189 0.000162192477806069
194048 189.5 0.000162178376941929
194560 190 0.000162164670036904
195072 190.5 0.000162151483150973
195584 191 0.000162138805373954
196096 191.5 0.000162126669444116
196608 192 0.000162114994445576
197120 192.5 0.000162103749279225
197632 193 0.000162093043144165
198144 193.5 0.000162082898996661
198656 194 0.000162073146027765
199168 194.5 0.000162063775826805
199680 195 0.000162054925378018
200192 195.5 0.000162046553464322
200704 196 0.000162038525108643
201216 196.5 0.000162030836167604
201728 197 0.00016202361526606
202240 197.5 0.000162016792775401
202752 198 0.000162010262377288
203264 198.5 0.000162004075131877
203776 199 0.000161998279774467
204288 199.5 0.000161992878533833
204800 200 0.000161987793710937
205312 200.5 0.000161983021983007
205824 201 0.000161978657505042
206336 201.5 0.000161974722630041
206848 202 0.000161971185614473
207360 202.5 0.000161967940192177
207872 203 0.000161965209531196
208384 203.5 0.000161963108588375
208896 204 0.000161961294337074
209408 204.5 0.000161959947163791
209920 205 0.000161959326120041
210432 205.5 0.000161959279793962
210944 206 0.000161959705642445
211456 206.5 0.000161960752669211
211968 207 0.000161962620023538
212480 207.5 0.000161965126842178
212992 208 0.000161968205571309
213504 208.5 0.00016197211495083
214016 209 0.000161976875696639
214528 209.5 0.0001619822961229
215040 210 0.000161988461487947
215552 210.5 0.000161995564073061
216064 211 0.000162003448619393
216576 211.5 0.000162012042064579
217088 212 0.000162021529606155
217600 212.5 0.000162031893508481
218112 213 0.000162042964582578
218624 213.5 0.000162054809556046
219136 214 0.000162067531316511
219648 214.5 0.000162080970569177
220160 215 0.000162095075105855
220672 215.5 0.000162109947087578
221184 216 0.000162125502300249
221696 216.5 0.000162141661370835
222208 217 0.000162158418703471
222720 217.5 0.000162175699872264
223232 218 0.000162193547905684
223744 218.5 0.000162211896785901
224256 219 0.000162230558857525
224768 219.5 0.000162249578255162
225280 220 0.000162269005396595
225792 220.5 0.000162288669400385
226304 221 0.000162308447124499
226816 221.5 0.000162328401829751
227328 222 0.00016234850712453
227840 222.5 0.000162368598591642
228352 223 0.000162388637268008
228864 223.5 0.000162408653875761
229376 224 0.000162428540655624
229888 224.5 0.000162448244183741
230400 225 0.000162467756552826
230912 225.5 0.000162486972697773
231424 226 0.000162505917808911
231936 226.5 0.000162524580948247
232448 227 0.000162542818904348
232960 227.5 0.000162560651485547
233472 228 0.000162578105055237
233984 228.5 0.000162595147004523
234496 229 0.000162611713299908
235008 229.5 0.000162627748695596
235520 230 0.000162643364685847
236032 230.5 0.000162658558071249
236544 231 0.000162673194706769
237056 231.5 0.0001626873168256
237568 232 0.000162701058230584
238080 232.5 0.00016271436584858
238592 233 0.000162727145264505
239104 233.5 0.00016273951028892
239616 234 0.000162751528828669
240128 234.5 0.000162763186761304
240640 235 0.000162774445025798
241152 235.5 0.000162785367545741
241664 236 0.000162796075989986
242176 236.5 0.000162806501864801
242688 237 0.00016281666564654
243200 237.5 0.0001628266503556
243712 238 0.000162836492628299
244224 238.5 0.000162846190937942
244736 239 0.000162855712804454
245248 239.5 0.00016286520778461
245760 240 0.000162874675514278
246272 240.5 0.000162884007700771
246784 241 0.000162893321837703
247296 241.5 0.000162902732137952
247808 242 0.0001629121515985
248320 242.5 0.000162921456845111
248832 243 0.000162930875117803
249344 243.5 0.000162940509870617
249856 244 0.000162950035816398
250368 244.5 0.000162959544526645
250880 245 0.000162969319217515
251392 245.5 0.000162979158682748
251904 246 0.000162988921913059
252416 246.5 0.000162998772851625
252928 247 0.000163008781940572
253440 247.5 0.000163018818405228
253952 248 0.00016302879562967
254464 248.5 0.000163038819531051
254976 249 0.000163048931752793
255488 249.5 0.000163058997779222
256000 250 0.000163068977737031
256512 250.5 0.000163078957746553
257024 251 0.000163088906350663
257536 251.5 0.00016309877045136
258048 252 0.000163108518560291
258560 252.5 0.000163118130448963
259072 253 0.000163127668065868
259584 253.5 0.000163137095154549
260096 254 0.000163146306448781
260608 254.5 0.000163155316715295
261120 255 0.000163164236371761
261632 255.5 0.000163172993249816
262144 256 0.000163181451822284
262656 256.5 0.000163189732853588
263168 257 0.000163197880561864
263680 257.5 0.000163205794782451
264192 258 0.000163213480292402
264704 258.5 0.000163220950412729
265216 259 0.000163228248670099
265728 259.5 0.000163235385660928
266240 260 0.00016324227783814
266752 260.5 0.000163248972169908
267264 261 0.000163255547744394
267776 261.5 0.000163261954197201
268288 262 0.000163268162088647
268800 262.5 0.000163274223246015
269312 263 0.000163280179542936
269824 263.5 0.000163285995536137
270336 264 0.000163291657008962
270848 264.5 0.000163297228164361
271360 265 0.000163302697106816
271872 265.5 0.000163308046575791
272384 266 0.000163313320135906
272896 266.5 0.000163318493381601
273408 267 0.000163323587087712
273920 267.5 0.000163328628568422
274432 268 0.00016333355348445
274944 268.5 0.00016333841857225
275456 269 0.000163343275811065
275968 269.5 0.000163347998899542
276480 270 0.000163352611825588
276992 270.5 0.000163357265714843
277504 271 0.000163361836983396
278016 271.5 0.00016336620923539
278528 272 0.000163370548678646
279040 272.5 0.000163374895605211
279552 273 0.000163379062897122
280064 273.5 0.000163383039542171
280576 274 0.000163386962687398
281088 274.5 0.000163390803420801
281600 275 0.000163394414043839
282112 275.5 0.000163397779569865
282624 276 0.000163401026564324
283136 276.5 0.00016340410474304
283648 277 0.000163406845140618
284160 277.5 0.000163409277271233
284672 278 0.000163411513988806
285184 278.5 0.000163413436715302
285696 279 0.000163414909169118
286208 279.5 0.000163416040103882
286720 280 0.000163416822368814
287232 280.5 0.000163417139184207
287744 281 0.000163416992048123
288256 281.5 0.000163416354593967
288768 282 0.000163415226473149
289280 282.5 0.000163413604900104
289792 283 0.00016341141520776
290304 283.5 0.000163408632180503
290816 284 0.000163405284680374
291328 284.5 0.000163401419246958
291840 285 0.00016339692720532
292352 285.5 0.000163391748834626
292864 286 0.000163386068660399
293376 286.5 0.000163379847616822
293888 287 0.000163372926099994
294400 287.5 0.000163365432201191
294912 288 0.00016335747588677
295424 288.5 0.000163348937391563
295936 289 0.000163339819121452
296448 289.5 0.00016333026209414
296960 290 0.000163320251681528
297472 290.5 0.000163309754052425
297984 291 0.000163298861343849
298496 291.5 0.000163287632603125
299008 292 0.000163276027300088
299520 292.5 0.000163264104814891
300032 293 0.000163251959216408
300544 293.5 0.000163239575318587
301056 294 0.000163226975602533
301568 294.5 0.000163214218542299
302080 295 0.000163201371951901
302592 295.5 0.000163188447038919
303104 296 0.000163175432086688
303616 296.5 0.000163162421189011
304128 297 0.000163149443905779
304640 297.5 0.000163136495307428
305152 298 0.000163123630746508
305664 298.5 0.000163110849550186
306176 299 0.000163098184634267
306688 299.5 0.000163085696543311
307200 300 0.000163073353448742
307712 300.5 0.000163061147813825
308224 301 0.000163049146001702
308736 301.5 0.000163037373890496
309248 302 0.000163025780228664
309760 302.5 0.000163014341799274
310272 303 0.000163003139530074
310784 303.5 0.000162992183530334
311296 304 0.000162981370708702
311808 304.5 0.000162970715897609
312320 305 0.000162960285973167
312832 305.5 0.000162950035467594
313344 306 0.000162939903518302
313856 306.5 0.000162929875315557
314368 307 0.000162919992722823
314880 307.5 0.000162910249397703
315392 308 0.000162900526708117
315904 308.5 0.000162890837890971
316416 309 0.000162881242885881
316928 309.5 0.000162871663379816
317440 310 0.000162862053231007
317952 310.5 0.000162852417726925
318464 311 0.000162842760539258
318976 311.5 0.000162833068870596
319488 312 0.000162823298401452
320000 312.5 0.000162813429800856
320512 313 0.000162803490347444
321024 313.5 0.000162793492431786
321536 314 0.000162783387392645
322048 314.5 0.000162773152647598
322560 315 0.000162762859942232
323072 315.5 0.000162752524616773
323584 316 0.000162742064713965
324096 316.5 0.000162731533189331
324608 317 0.000162721017847042
325120 317.5 0.000162710463116944
325632 318 0.000162699857956768
326144 318.5 0.000162689306501178
326656 319 0.000162678840977335
327168 319.5 0.000162668390945566
327680 320 0.000162658021119112
328192 320.5 0.000162647863261586
328704 321 0.000162637849646113
329216 321.5 0.000162627945183373
329728 322 0.00016261831081877
330240 322.5 0.000162608979886496
330752 323 0.000162599855472084
331264 323.5 0.000162590988853998
331776 324 0.000162582504059473
332288 324.5 0.000162574382251733
332800 325 0.000162566546018376
333312 325.5 0.000162559059352519
333824 326 0.000162552006807822
334336 326.5 0.000162545345598557
334848 327 0.000162539020413899
335360 327.5 0.000162533066328256
335872 328 0.000162527551450609
336384 328.5 0.000162522427312953
336896 329 0.000162517619399719
337408 329.5 0.000162513180584646
337920 330 0.000162509134362647
338432 330.5 0.000162505425289011
338944 331 0.00016250202340755
339456 331.5 0.000162498925312074
339968 332 0.000162496137896101
340480 332.5 0.000162493658129638
340992 333 0.000162491424074071
341504 333.5 0.000162489391453655
342016 334 0.000162487629377548
342528 334.5 0.000162486114868664
343040 335 0.000162484733672743
343552 335.5 0.000162483521426547
344064 336 0.000162482509230931
344576 336.5 0.000162481638714398
345088 337 0.000162480873033916
345600 337.5 0.000162480201351791
346112 338 0.000162479649813526
346624 338.5 0.000162479193641087
347136 339 0.000162478774773943
347648 339.5 0.000162478406457123
348160 340 0.000162478097694503
348672 340.5 0.000162477825382468
349184 341 0.00016247757139364
349696 341.5 0.000162477315103948
350208 342 0.000162477072394854
350720 342.5 0.000162476859390388
351232 343 0.000162476629567114
351744 343.5 0.000162476373716909
352256 344 0.000162476144677934
352768 344.5 0.000162475932409092
353280 345 0.000162475689682433
353792 345.5 0.000162475457326669
354304 346 0.000162475286043782
354816 346.5 0.000162475122797533
355328 347 0.000162474967697159
355840 347.5 0.000162474906452582
356352 348 0.000162474935899024
356864 348.5 0.00016247501343609
357376 349 0.000162475189924842
357888 349.5 0.000162475540131712
358400 350 0.000162476047558745
358912 350.5 0.000162476674663128
359424 351 0.000162477498507215
359936 351.5 0.000162478603564274
360448 352 0.000162479936287577
360960 352.5 0.00016248147008067
361472 353 0.000162483315128289
361984 353.5 0.00016248553267451
362496 354 0.000162488039289689
363008 354.5 0.000162490822090704
363520 355 0.000162494018465133
364032 355.5 0.000162497643632803
364544 356 0.000162501582998884
365056 356.5 0.000162505875419392
365568 357 0.000162510637524722
366080 357.5 0.000162515816566141
366592 358 0.000162521338474449
367104 358.5 0.000162527258935975
367616 359 0.00016253361390891
368128 359.5 0.000162540370256554
368640 360 0.000162547484280476
369152 360.5 0.00016255495669647
369664 361 0.000162562818939461
370176 361.5 0.000162571054115725
370688 362 0.000162579606315533
371200 362.5 0.000162588457956514
371712 363 0.000162597643684639
372224 363.5 0.000162607143837577
372736 364 0.000162616887406676
373248 364.5 0.000162626871322973
373760 365 0.000162637118466542
374272 365.5 0.000162647589787531
374784 366 0.000162658239027459
375296 366.5 0.000162669064733927
375808 367 0.000162680053191323
376320 367.5 0.000162691181378087
376832 368 0.000162702428809311
377344 368.5 0.00016271375221596
377856 369 0.00016272515026092
