# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 12 2024 at 15:46:38+0200
# parameter filename: "TOV_lev3_r12_r10.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
# Run ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
0 0 0 0 0
512 0.5 -0.00532733763391804 -0.00532733763391805 -0.00532733763391805
1024 1 -0.0104622422900311 -0.010462242290031 -0.0104622422900309
1536 1.5 -0.0155132070687641 -0.015513207068764 -0.0155132070687615
2048 2 -0.0206953405688668 -0.0206953406062387 -0.0206953406063373
2560 2.5 -0.0258182048281856 -0.0258182060714335 -0.0258182060739906
3072 3 -0.030839528710828 -0.0308395328129402 -0.0308395330063098
3584 3.5 -0.0357329867539604 -0.0357329941892498 -0.0357329956537561
4096 4 -0.0404644432202522 -0.0404644538823782 -0.0404644459282433
4608 4.5 -0.0450270290305334 -0.0450270426146773 -0.0450270477705337
5120 5 -0.0494333839994544 -0.0494334012051804 -0.0494334339274679
5632 5.5 -0.0537137491119247 -0.0537139115554294 -0.0537130093295916
6144 6 -0.0579539008773325 -0.0579541481844876 -0.0579523281675039
6656 6.5 -0.0624378074832709 -0.0624402802980115 -0.0624399526698134
7168 7 -0.0669919867026205 -0.0669944578953488 -0.066992932945986
7680 7.5 -0.0714789560256893 -0.0714814542666556 -0.0714786688035223
8192 8 -0.0759080234515682 -0.0759102938928777 -0.0759064930089221
8704 8.5 -0.0802904790110167 -0.0802922824129743 -0.0802877107676672
9216 9 -0.0846343834650829 -0.0846355582593473 -0.0846304543558775
9728 9.5 -0.0889499467451923 -0.0889504359340762 -0.0889450495318621
10240 10 -0.0932406231434086 -0.0932404928724939 -0.0932350869504819
10752 10.5 -0.0975092836456415 -0.0975087447755455 -0.097503583428003
11264 11 -0.101756561066725 -0.101755980038604 -0.101751334843481
11776 11.5 -0.105983529708891 -0.105983528416335 -0.105979608046834
12288 12 -0.110188227038265 -0.110189874451604 -0.1101866659044
12800 12.5 -0.114406488464705 -0.114403073498159 -0.114394045843794
13312 13 -0.11866860745236 -0.118661430458505 -0.118645172183198
13824 13.5 -0.122958176023117 -0.122949842087083 -0.122926568325583
14336 14 -0.12723555752463 -0.127231611583442 -0.12720546398203
14848 14.5 -0.131472323935366 -0.131474516643297 -0.131445657838834
15360 15 -0.135662664464423 -0.13567287560008 -0.135640907482734
15872 15.5 -0.13980051796995 -0.139820080717495 -0.139784996149177
16384 16 -0.143875579154255 -0.143905318281334 -0.143868227491648
16896 16.5 -0.147876867193122 -0.147918356487493 -0.147880763255912
17408 17 -0.151796093948533 -0.151849176185874 -0.151814768261933
17920 17.5 -0.155624825764667 -0.155720195245692 -0.155659431093637
18432 18 -0.159355003486787 -0.157349654105524 -0.159407750880599
18944 18.5 -0.161835129955156 -0.156907237731235 -0.161193516931572
19456 19 -0.161133337957957 -0.156405423416811 -0.16107946459965
19968 19.5 -0.160430135804039 -0.156357938554588 -0.161047255230268
20480 20 -0.16030998895255 -0.156464186098151 -0.160944581082433
20992 20.5 -0.160162834114534 -0.156697318763258 -0.16080359708447
21504 21 -0.160800649620187 -0.159861676437479 -0.160651678651982
22016 21.5 -0.163882217581713 -0.162965014823501 -0.163213420646208
22528 22 -0.166889918430042 -0.165995266182087 -0.166242466260025
23040 22.5 -0.169812648674693 -0.168935789148873 -0.169185562320254
23552 23 -0.170645285663771 -0.170411483184101 -0.171422156826636
24064 23.5 -0.170914067760652 -0.170688527361129 -0.171670471298252
24576 24 -0.171144809453816 -0.170926880871427 -0.171881426767262
25088 24.5 -0.171352422609185 -0.171138380052921 -0.172061545445703
25600 25 -0.171552358451379 -0.171339185031492 -0.172228236960173
26112 25.5 -0.171759141140948 -0.171544634381491 -0.172398693970115
26624 26 -0.171979839699488 -0.171762834199876 -0.172582114760812
27136 26.5 -0.172214572611958 -0.1719936173898 -0.172779764839472
27648 27 -0.172467381745571 -0.172240181797866 -0.172996512744772
28160 27.5 -0.172740679450012 -0.172524945533276 -0.173235563715758
28672 28 -0.173033858678649 -0.17288472600528 -0.173495985612699
29184 28.5 -0.173345941032897 -0.173344002603823 -0.173777054933495
29696 29 -0.173675762866235 -0.173915308722487 -0.174077328399672
30208 29.5 -0.174019546128218 -0.174598256994956 -0.174392577552268
30720 30 -0.17437118315643 -0.175386256520902 -0.174716605549038
31232 30.5 -0.174724309565283 -0.176269851736767 -0.175044084432521
31744 31 -0.175077426984659 -0.177241768181665 -0.17537374780646
32256 31.5 -0.17543536509332 -0.178300682864964 -0.175709301082595
32768 32 -0.175804611753971 -0.179447502411168 -0.176040519885672
33280 32.5 -0.176185695277368 -0.180675207629535 -0.176395701360148
33792 33 -0.176584126802831 -0.181973597720286 -0.176798943380621
34304 33.5 -0.17701645607355 -0.183323662377828 -0.177257273101836
34816 34 -0.177493823137714 -0.184752536685388 -0.177773710690401
35328 34.5 -0.178030260418464 -0.1862650321727 -0.178353776880515
35840 35 -0.178639501551435 -0.187845203783495 -0.179007251805617
36352 35.5 -0.179334084380818 -0.189480703479771 -0.179743700803323
36864 36 -0.180110732706319 -0.191151800194575 -0.180560253319325
37376 36.5 -0.180963258742373 -0.19283604703556 -0.181450263393113
37888 37 -0.181888436731317 -0.194516985281207 -0.1824098712409
38400 37.5 -0.182887536547683 -0.196186430596693 -0.183439677050503
38912 38 -0.183966073802088 -0.197843959875398 -0.184543198831861
39424 38.5 -0.185120059114424 -0.199483316065762 -0.185717335857902
