# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 12 2024 at 15:46:38+0200
# parameter filename: "TOV_lev3_r12_r10.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
# Run ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
#
# HYDROBASE::w_lorentz (hydrobase-w_lorentz)
# 1:iteration 2:time 3:data
# data columns: 3:w_lorentz
0 0 1
512 0.5 1.00032884202924
1024 1 1.0002689768452
1536 1.5 1.00021752240953
2048 2 1.00032610522868
2560 2.5 1.00048831986506
3072 3 1.00067908034767
3584 3.5 1.00090986707332
4096 4 1.00116282346569
4608 4.5 1.00144491867854
5120 5 1.00174785034083
5632 5.5 1.00208328991451
6144 6 1.00243634970075
6656 6.5 1.00277462174772
7168 7 1.00310765087163
7680 7.5 1.00348586480245
8192 8 1.00393368649783
8704 8.5 1.00440391038156
9216 9 1.00489676713579
9728 9.5 1.00541286535622
10240 10 1.00595230864242
10752 10.5 1.00651526459192
11264 11 1.00710146182479
11776 11.5 1.00771083550036
12288 12 1.00834314890276
12800 12.5 1.00900317826864
13312 13 1.00969709020257
13824 13.5 1.01042266707397
14336 14 1.01117362712234
14848 14.5 1.01194485756122
15360 15 1.01273560481886
15872 15.5 1.01354307505512
16384 16 1.01436436742319
16896 16.5 1.01519640884342
17408 17 1.01603587589444
17920 17.5 1.01688677666726
18432 18 1.01772120220563
18944 18.5 1.01828413801914
19456 19 1.018124790706
19968 19.5 1.01804290949087
20480 20 1.01802053077013
20992 20.5 1.01798940062113
21504 21 1.01795578188204
22016 21.5 1.01863228166297
22528 22 1.01934251176832
23040 22.5 1.02004658212825
23552 23 1.02044007889069
24064 23.5 1.02050082544466
24576 24 1.0205524560057
25088 24.5 1.02059668467899
25600 25 1.02063765909821
26112 25.5 1.02067945941458
26624 26 1.02072453061797
27136 26.5 1.02077338129064
27648 27 1.02082693400065
28160 27.5 1.02088600804485
28672 28 1.0209506008395
29184 28.5 1.02102056123859
29696 29 1.02109549113637
30208 29.5 1.02122600950039
30720 30 1.02142472716991
