# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 12 2024 at 15:46:38+0200
# parameter filename: "TOV_lev3_r12_r10.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
# Run ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 -7.21209509786709e-05
512 0.5 -8.42694175576634e-05
1024 1 -0.00010045477460172
1536 1.5 -0.000144898898703081
2048 2 -0.000179637918939451
2560 2.5 -0.000217241021713178
3072 3 -0.000252256078538731
3584 3.5 -0.000275839548124979
4096 4 -0.000299010991461084
4608 4.5 -0.00032575247547004
5120 5 -0.000345685112098982
5632 5.5 -0.000363157201059998
6144 6 -0.000387148589062727
6656 6.5 -0.000409457307735527
7168 7 -0.000427606670750341
7680 7.5 -0.000452604997395209
8192 8 -0.000481715609964222
8704 8.5 -0.000503077162503775
9216 9 -0.00052492378427213
9728 9.5 -0.000556590915326578
10240 10 -0.000585578019440138
10752 10.5 -0.000606226724283957
11264 11 -0.000630736131610435
11776 11.5 -0.000661856733094113
12288 12 -0.00068998775610766
12800 12.5 -0.000706950758775739
13312 13 -0.000730474405238024
13824 13.5 -0.000765037011427743
14336 14 -0.00078787868624138
14848 14.5 -0.00080379749837339
15360 15 -0.000824282891034336
15872 15.5 -0.000864571671399603
16384 16 -0.000882461993381097
16896 16.5 -0.000891194846644791
17408 17 -0.000926139511556302
17920 17.5 -0.000963054231556699
18432 18 -0.000962850261646918
18944 18.5 -0.000989339586085407
19456 19 -0.00103199339493082
19968 19.5 -0.00104248291339132
20480 20 -0.00105267882317327
20992 20.5 -0.00109741725705345
21504 21 -0.00111426884334267
22016 21.5 -0.00112077001555605
22528 22 -0.00115259369124432
23040 22.5 -0.00117933668696264
23552 23 -0.0011790336943341
24064 23.5 -0.00120240985067116
24576 24 -0.0012348082789495
25088 24.5 -0.0012384838509875
25600 25 -0.00125934746839726
26112 25.5 -0.00128925020523107
26624 26 -0.00129352469328368
27136 26.5 -0.00130915379915393
27648 27 -0.00133328819861425
28160 27.5 -0.00134714527786655
28672 28 -0.00135582910590748
29184 28.5 -0.00137824421718653
29696 29 -0.00139676281100877
30208 29.5 -0.00139897622566443
30720 30 -0.00141747784801983
31232 30.5 -0.00144048345851731
31744 31 -0.00144617205396289
32256 31.5 -0.00145713932336405
32768 32 -0.0014793786316617
33280 32.5 -0.00148873019173374
33792 33 -0.00149437615677865
34304 33.5 -0.00151697508358878
34816 34 -0.00152899807114042
35328 34.5 -0.00153218693756208
35840 35 -0.00155155413212329
36352 35.5 -0.0015645572149401
36864 36 -0.0015714644752192
37376 36.5 -0.00158271446322673
37888 37 -0.00160147673088826
38400 37.5 -0.00160792168708112
38912 38 -0.0016143717768347
39424 38.5 -0.00163306363139029
39936 39 -0.00164366243552972
40448 39.5 -0.00165055811089242
40960 40 -0.00165920730252128
41472 40.5 -0.00167599984600073
41984 41 -0.00168486482348861
42496 41.5 -0.00168726669371429
43008 42 -0.00170325947823736
43520 42.5 -0.00171394659255476
44032 43 -0.00171977252181086
44544 43.5 -0.00172886091377655
45056 44 -0.00173815346710603
45568 44.5 -0.00174638170071522
46080 45 -0.00175646691128744
46592 45.5 -0.00175964680095859
47104 46 -0.00176900897442555
47616 46.5 -0.00178059280635736
48128 47 -0.00178103795713814
48640 47.5 -0.00179022110615938
49152 48 -0.00179871797101865
49664 48.5 -0.00180586333272579
50176 49 -0.00180485978063297
50688 49.5 -0.00181617780701895
51200 50 -0.00182640082054373
51712 50.5 -0.00182107848408159
52224 51 -0.00183303802293435
52736 51.5 -0.00183769739782343
53248 52 -0.00184328479183721
53760 52.5 -0.00184457368701005
54272 53 -0.00185120605157526
54784 53.5 -0.00185940808294589
55296 54 -0.00185693230573144
55808 54.5 -0.00186640030933792
56320 55 -0.00186927356819964
56832 55.5 -0.00187380864248648
57344 56 -0.00187791870123777
57856 56.5 -0.00188122119996748
58368 57 -0.00188647182807
58880 57.5 -0.00189038001868752
59392 58 -0.00189412097611719
59904 58.5 -0.0018971354344433
60416 59 -0.00190392238717262
60928 59.5 -0.00190560449154246
61440 60 -0.0019090584312655
61952 60.5 -0.00191653292610265
62464 61 -0.00191574408106621
62976 61.5 -0.00192174722309994
63488 62 -0.00192849012566897
64000 62.5 -0.00192794929391327
64512 63 -0.00192998429493675
65024 63.5 -0.00194113635829527
65536 64 -0.00194364242871711
66048 64.5 -0.00193899260548508
66560 65 -0.00195003607168928
67072 65.5 -0.00195628220162575
67584 66 -0.00195199740741657
68096 66.5 -0.00195680662476142
68608 67 -0.00196639242425561
69120 67.5 -0.0019666329006719
69632 68 -0.00196873331514895
70144 68.5 -0.00197439626724892
70656 69 -0.0019755008401843
71168 69.5 -0.00197977067423768
71680 70 -0.00198515181071717
72192 70.5 -0.00198535772896205
72704 71 -0.00198926011463847
73216 71.5 -0.00199436299881436
73728 72 -0.00199726250572608
74240 72.5 -0.00199522645748949
74752 73 -0.00200312294558393
75264 73.5 -0.00200890733490269
75776 74 -0.00200486099260634
76288 74.5 -0.00200902256032395
76800 75 -0.00201705981072229
77312 75.5 -0.0020154346569815
77824 76 -0.00201569180570397
78336 76.5 -0.00202454432291108
78848 77 -0.00202560331533367
79360 77.5 -0.00202239568608299
79872 78 -0.00202967023479041
80384 78.5 -0.00203361701970678
80896 79 -0.0020320668156572
81408 79.5 -0.00203458822279309
81920 80 -0.00204001954471932
82432 80.5 -0.00203851686437601
82944 81 -0.00204086980149543
83456 81.5 -0.0020461749322882
83968 82 -0.00204411840735653
84480 82.5 -0.00204710846509495
84992 83 -0.00205040942544479
85504 83.5 -0.00205123404185047
86016 84 -0.00204997089716468
86528 84.5 -0.00205525544281947
87040 85 -0.00205832377509068
87552 85.5 -0.00205360460295547
88064 86 -0.00205817882703215
88576 86.5 -0.00206123472481879
89088 87 -0.00206103040059452
89600 87.5 -0.00206011661318748
90112 88 -0.00206413533653803
90624 88.5 -0.00206498865727107
91136 89 -0.00206293750117053
91648 89.5 -0.00206844001342996
92160 90 -0.00206509396909719
92672 90.5 -0.00206633032514919
93184 91 -0.00207761801216559
93696 91.5 -0.00208616109924443
94208 92 -0.00210011473445695
94720 92.5 -0.00211228565505723
95232 93 -0.00212393482181458
95744 93.5 -0.00213715799106128
96256 94 -0.00214813707084257
96768 94.5 -0.00216078879176064
97280 95 -0.00217245266702907
97792 95.5 -0.00218438969117246
98304 96 -0.0021962245030876
98816 96.5 -0.00220715458317645
99328 97 -0.00221975865269995
99840 97.5 -0.00223069218834051
100352 98 -0.00224149146587561
100864 98.5 -0.00225418883923864
101376 99 -0.0022639985603592
101888 99.5 -0.0022759599016568
102400 100 -0.00228672520752448
102912 100.5 -0.00229722211506697
103424 101 -0.00230942756559027
103936 101.5 -0.0023202700612703
104448 102 -0.00233408151379166
104960 102.5 -0.00234706986432599
105472 103 -0.00235907160742113
105984 103.5 -0.00237383840683779
106496 104 -0.00238359955344181
107008 104.5 -0.00239758769609165
107520 105 -0.00240956483547082
108032 105.5 -0.00241996903066999
108544 106 -0.00243357368719073
109056 106.5 -0.00244260663570394
109568 107 -0.00245597885241784
110080 107.5 -0.00246653865734522
110592 108 -0.00247605424122164
111104 108.5 -0.00248901858059034
111616 109 -0.00249788713236033
112128 109.5 -0.00250953960435497
112640 110 -0.00251905089109239
113152 110.5 -0.00252956330789438
113664 111 -0.00254033552150966
114176 111.5 -0.00254840140861264
114688 112 -0.00256095999896912
115200 112.5 -0.00256803223203999
115712 113 -0.00257908379979761
116224 113.5 -0.00258907142459193
116736 114 -0.00259632512298883
117248 114.5 -0.00260845716127714
117760 115 -0.002614945147909
118272 115.5 -0.00262594964202459
118784 116 -0.00263464699019121
119296 116.5 -0.00264168294449974
119808 117 -0.00265362768098732
120320 117.5 -0.00265876957157958
120832 118 -0.0026727426620936
121344 118.5 -0.00268411320191037
121856 119 -0.00269469565172062
122368 119.5 -0.00270794889862937
122880 120 -0.00271826279481156
123392 120.5 -0.00273054675846904
123904 121 -0.00274095557649716
124416 121.5 -0.00275161384049836
124928 122 -0.00276255162089188
125440 122.5 -0.00277202885509013
125952 123 -0.00278260228241233
126464 123.5 -0.00279190841344079
126976 124 -0.00280171911978725
127488 124.5 -0.00281151699352526
128000 125 -0.00281981554211853
128512 125.5 -0.00282974558978489
129024 126 -0.00283848522942671
129536 126.5 -0.00284714084089685
130048 127 -0.00285616753085321
130560 127.5 -0.00286394199420918
131072 128 -0.00287361027735918
131584 128.5 -0.00288127000194875
132096 129 -0.00288914298564472
132608 129.5 -0.00289829968646579
133120 130 -0.00290561846785918
133632 130.5 -0.00291422670108534
134144 131 -0.00292216253410268
134656 131.5 -0.00293152303870276
135168 132 -0.0029437293042987
135680 132.5 -0.00295533888806856
136192 133 -0.00296677910793876
136704 133.5 -0.00297873495911251
137216 134 -0.00299053600115869
137728 134.5 -0.00300246873000327
138240 135 -0.00301284538351674
138752 135.5 -0.00302449823737243
139264 136 -0.00303528094099379
139776 136.5 -0.00304548117216686
140288 137 -0.00305629105604844
140800 137.5 -0.00306585992486196
141312 138 -0.0030768800857758
141824 138.5 -0.00308619430405795
142336 139 -0.00309570527698011
142848 139.5 -0.00310638549196008
143360 140 -0.00311473446044065
143872 140.5 -0.00312507780609032
144384 141 -0.00313392671689305
144896 141.5 -0.0031431478994765
145408 142 -0.00315252407243009
145920 142.5 -0.00316106593710726
146432 143 -0.00317063789173778
146944 143.5 -0.00317869726180285
147456 144 -0.00318805166290311
147968 144.5 -0.00319643070516781
148480 145 -0.00320509556564166
148992 145.5 -0.00321392393469806
149504 146 -0.00322162261344942
150016 146.5 -0.00323106295548642
150528 147 -0.00323880786653123
151040 147.5 -0.00324901370693542
151552 148 -0.00326227266828662
152064 148.5 -0.00327418589760861
152576 149 -0.00328779129927101
153088 149.5 -0.00330128056621407
153600 150 -0.00331379764227626
154112 150.5 -0.00332842164861715
154624 151 -0.00334107669096102
155136 151.5 -0.00335501017182827
155648 152 -0.00336872313498062
156160 152.5 -0.00338057935367196
156672 153 -0.00339530281144642
157184 153.5 -0.00340671150245992
157696 154 -0.00341993758440737
158208 154.5 -0.00343410437113675
158720 155 -0.00344625051225552
159232 155.5 -0.00346075790298991
159744 156 -0.00347256630682745
160256 156.5 -0.00348665643261416
160768 157 -0.00349954783760085
161280 157.5 -0.00351230203731141
161792 158 -0.00352585371362643
162304 158.5 -0.0035376880638537
162816 159 -0.00355206020511009
163328 159.5 -0.00356360691708702
163840 160 -0.00357689185945953
164352 160.5 -0.00358981420055328
164864 161 -0.00360128219914726
165376 161.5 -0.00361592426674649
165888 162 -0.0036265507373712
166400 162.5 -0.00363942584585655
166912 163 -0.00365313495777661
167424 163.5 -0.0036637316151099
167936 164 -0.00367746592318509
168448 164.5 -0.00368899445804675
168960 165 -0.00370151998093803
169472 165.5 -0.00371439403452896
169984 166 -0.00372531884535363
170496 166.5 -0.00373894586844493
171008 167 -0.00375024400097565
171520 167.5 -0.00376267741768019
172032 168 -0.00377502276415838
172544 168.5 -0.00378651572755025
173056 169 -0.00379942019335813
173568 169.5 -0.00381051327075896
174080 170 -0.00382322463664764
174592 170.5 -0.0038348965123684
175104 171 -0.00384622024996891
175616 171.5 -0.0038592492334607
176128 172 -0.00386959709022037
176640 172.5 -0.00388249312912052
177152 173 -0.00389354487333224
177664 173.5 -0.00390472113055149
178176 174 -0.00391765285648325
178688 174.5 -0.0039274305510791
179200 175 -0.00393982319307372
179712 175.5 -0.00395072371521237
180224 176 -0.00396188048622456
180736 176.5 -0.00397347662058173
181248 177 -0.00398351080466589
181760 177.5 -0.00399551239642633
182272 178 -0.00400561360033181
182784 178.5 -0.0040164517820562
183296 179 -0.00402747549189483
183808 179.5 -0.00403687524990814
184320 180 -0.0040483274274229
184832 180.5 -0.00405782752607971
185344 181 -0.00406773107710363
185856 181.5 -0.00407796570270304
186368 182 -0.00408721789917348
186880 182.5 -0.00409740042557672
187392 183 -0.00410606799545745
187904 183.5 -0.00411552665075696
188416 184 -0.00412513212144454
188928 184.5 -0.00413354965212633
189440 185 -0.00414256629694793
189952 185.5 -0.00415139861725326
190464 186 -0.00415996917488799
190976 186.5 -0.00416866235055733
191488 187 -0.00417689164539369
192000 187.5 -0.00418521554046428
192512 188 -0.00419394960008587
193024 188.5 -0.00420175954768365
193536 189 -0.00421012973373334
194048 189.5 -0.00421833162325356
194560 190 -0.00422631845133529
195072 190.5 -0.00423474059149649
195584 191 -0.00424253637986488
196096 191.5 -0.00425062263756415
196608 192 -0.00425883052458801
197120 192.5 -0.00426703070065251
197632 193 -0.00427478538812274
198144 193.5 -0.0042829999620091
198656 194 -0.00429148165132631
199168 194.5 -0.00429915726476127
199680 195 -0.0043078118886708
200192 195.5 -0.00431567962863758
200704 196 -0.00432404917127091
201216 196.5 -0.00433268246105981
201728 197 -0.00434027208110331
202240 197.5 -0.00434962456192811
202752 198 -0.00435720930930656
203264 198.5 -0.00436599601472817
203776 199 -0.00437488147924179
204288 199.5 -0.00438264644892135
204800 200 -0.00439209098207554
205312 200.5 -0.00439998525347181
205824 201 -0.00440916493117557
206336 201.5 -0.00441809090036104
206848 202 -0.00442619028678878
207360 202.5 -0.00443567815125335
207872 203 -0.00444436975406118
208384 203.5 -0.00445330857695447
208896 204 -0.00446210668200312
209408 204.5 -0.00447097574655644
209920 205 -0.00448011753783305
210432 205.5 -0.00448864155982809
210944 206 -0.00449768651243101
211456 206.5 -0.00450618903326398
211968 207 -0.00451494686477916
212480 207.5 -0.00452397405963701
212992 208 -0.00453177270050959
213504 208.5 -0.00454069630710958
214016 209 -0.00454909667786272
214528 209.5 -0.00455710527377785
215040 210 -0.00456557999611806
215552 210.5 -0.00457301749465669
216064 211 -0.00458171727702517
216576 211.5 -0.00458932573661857
217088 212 -0.00459652699993823
217600 212.5 -0.00460491422648681
218112 213 -0.00461198504478083
218624 213.5 -0.00461971084650031
219136 214 -0.00462684601627613
219648 214.5 -0.00463400769618618
220160 215 -0.00464164523636843
220672 215.5 -0.00464822376012295
221184 216 -0.0046557229959471
221696 216.5 -0.00466220691911181
222208 217 -0.00466944062853493
222720 217.5 -0.00467668259561571
223232 218 -0.00468258559071875
223744 218.5 -0.00469031703665082
224256 219 -0.00469678180006412
224768 219.5 -0.00470341316573468
225280 220 -0.00471069867208465
225792 220.5 -0.00471683978680031
226304 221 -0.00472418047840783
226816 221.5 -0.00473073287970228
227328 222 -0.00473759266009339
227840 222.5 -0.00474457178551022
228352 223 -0.00475126320538997
228864 223.5 -0.00475860606531854
229376 224 -0.00476528102050933
229888 224.5 -0.00477266801062118
230400 225 -0.004779652083459
230912 225.5 -0.00478689339261033
231424 226 -0.00479458204432844
231936 226.5 -0.00480156718493109
232448 227 -0.00480949151969975
232960 227.5 -0.00481692581948318
233472 228 -0.00482464576064008
233984 228.5 -0.00483278288780422
234496 229 -0.00484017371621322
235008 229.5 -0.00484855305203724
235520 230 -0.00485657220972263
236032 230.5 -0.00486478238121866
236544 231 -0.00487329603273959
237056 231.5 -0.00488128776783199
237568 232 -0.00489043248141601
238080 232.5 -0.00489879644040595
238592 233 -0.00490741799322795
239104 233.5 -0.00491654409174242
239616 234 -0.0049250587852262
