# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 12 2024 at 15:46:38+0200
# parameter filename: "TOV_lev3_r12_r10.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
# Run ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 6.70519302852458e-06
512 0.5 2.10319996727556e-05
1024 1 3.05113517733954e-05
1536 1.5 3.54972252489131e-05
2048 2 3.6599657018533e-05
2560 2.5 3.63440358548206e-05
3072 3 3.69219253128868e-05
3584 3.5 3.80517866304964e-05
4096 4 3.85926974432293e-05
4608 4.5 3.8440988903544e-05
5120 5 3.84398078976985e-05
5632 5.5 3.89800480834331e-05
6144 6 3.93983335286462e-05
6656 6.5 3.94272751541607e-05
7168 7 3.94430936685597e-05
7680 7.5 3.9753964956622e-05
8192 8 4.01515578202914e-05
8704 8.5 4.02661205286536e-05
9216 9 4.03359077265504e-05
9728 9.5 4.05950226262035e-05
10240 10 4.09417110251035e-05
10752 10.5 4.11553417685132e-05
11264 11 4.12406396400326e-05
11776 11.5 4.14979610540329e-05
12288 12 4.18370647938455e-05
12800 12.5 4.20615264257627e-05
13312 13 4.22447599399852e-05
13824 13.5 4.24871370799022e-05
14336 14 4.28163778240345e-05
14848 14.5 4.3072152798601e-05
15360 15 4.32995456880024e-05
15872 15.5 4.35969729253895e-05
16384 16 4.38696710014245e-05
16896 16.5 4.42040283573197e-05
17408 17 4.45007656473736e-05
17920 17.5 4.47616951718892e-05
18432 18 4.50897492075807e-05
18944 18.5 4.54496976339903e-05
19456 19 4.58112699379268e-05
19968 19.5 4.60719868582997e-05
20480 20 4.64226707299479e-05
20992 20.5 4.68658428173929e-05
21504 21 4.71743878708488e-05
22016 21.5 4.75000649596281e-05
22528 22 4.78866025043101e-05
23040 22.5 4.82924062250453e-05
23552 23 4.86760690472265e-05
24064 23.5 4.90469871815911e-05
24576 24 4.94293511604267e-05
25088 24.5 4.9809125915364e-05
25600 25 5.02332140100792e-05
26112 25.5 5.06501457046399e-05
26624 26 5.10802760909052e-05
27136 26.5 5.15267558803754e-05
27648 27 5.19271710807279e-05
28160 27.5 5.23384114725372e-05
28672 28 5.27873013316104e-05
29184 28.5 5.32622667706819e-05
29696 29 5.37720946243263e-05
30208 29.5 5.41484042411843e-05
30720 30 5.45823139864995e-05
31232 30.5 5.5083461614387e-05
31744 31 5.55783066147421e-05
32256 31.5 5.61107348622997e-05
32768 32 5.65760025659946e-05
33280 32.5 5.70182863990008e-05
33792 33 5.75106492912958e-05
34304 33.5 5.80464588276916e-05
34816 34 5.85975134272432e-05
35328 34.5 5.90641143128234e-05
35840 35 5.95702740926603e-05
36352 35.5 6.01203736789337e-05
36864 36 6.06660739151882e-05
37376 36.5 6.12673785495527e-05
37888 37 6.18019599546488e-05
38400 37.5 6.22988995280972e-05
38912 38 6.28299864933218e-05
39424 38.5 6.34186623522826e-05
39936 39 6.40215963532903e-05
40448 39.5 6.45035358902263e-05
