# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 12 2024 at 15:46:38+0200
# parameter filename: "TOV_lev3_r12_r10.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
# Run ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.5 1.5461873470232e-05 1.54618734702277e-05 1.54618734701933e-05
1024 1 1.53021893868797e-05 1.5302189402976e-05 1.53021894116446e-05
1536 1.5 1.42954368010613e-05 1.42954368018049e-05 1.4295436801903e-05
2048 2 1.78240173595239e-05 1.78240173554531e-05 1.78240173562105e-05
2560 2.5 1.67593617974765e-05 1.67593618056185e-05 1.67593618045263e-05
3072 3 1.47438337287955e-05 1.47438337287823e-05 1.47438337287691e-05
3584 3.5 3.44753073896707e-05 3.44753068281207e-05 3.4475306203459e-05
4096 4 1.77515490222736e-05 1.77515497704284e-05 1.77515498646464e-05
4608 4.5 1.68727200599744e-05 1.68727200598904e-05 1.68727201272598e-05
5120 5 1.95503660483155e-05 1.95503723493371e-05 1.95503881611392e-05
5632 5.5 1.52311946718271e-05 1.52311949765671e-05 1.52311949584283e-05
6144 6 3.25092019342956e-05 3.2509203496335e-05 3.25092038273703e-05
6656 6.5 1.32526441357806e-05 1.32526467151126e-05 1.32526448303814e-05
7168 7 1.68816756046689e-05 1.68817136347766e-05 1.68817677543019e-05
7680 7.5 1.34924381305515e-05 1.34924372445073e-05 1.34924357534329e-05
8192 8 3.10484138975035e-05 3.10484005278275e-05 3.1048427789715e-05
8704 8.5 2.06200682674833e-05 2.06201443619328e-05 2.06202266765649e-05
9216 9 1.19430291767934e-05 1.19430260108796e-05 1.19430427087491e-05
9728 9.5 2.58139604436314e-05 2.58139608930489e-05 2.58138989263855e-05
10240 10 1.53067760034738e-05 1.53067429732515e-05 1.53067575774089e-05
10752 10.5 1.56581304189139e-05 1.56581319539608e-05 1.56581333239582e-05
11264 11 1.30449218601634e-05 1.30448985767841e-05 1.30449187468249e-05
11776 11.5 1.10222761418739e-05 1.10222829154902e-05 1.10222802200068e-05
12288 12 1.42166432475496e-05 1.42166435220199e-05 1.42166434730457e-05
12800 12.5 1.16948363020157e-05 1.16948478592151e-05 1.16948424219848e-05
13312 13 1.37449759426642e-05 1.37449764248582e-05 1.37449772997821e-05
13824 13.5 1.57269405609402e-05 1.57269401760414e-05 1.57269395334074e-05
14336 14 1.53416371575196e-05 1.53416379415856e-05 1.53416348705255e-05
14848 14.5 2.08221846057328e-05 2.08221811489951e-05 2.08221830418433e-05
15360 15 1.60879759781346e-05 1.60879737353876e-05 1.60879786330909e-05
15872 15.5 1.37094870293275e-05 1.37099075158626e-05 1.37108248608053e-05
16384 16 2.17163121114548e-05 2.17163149440061e-05 2.17163201361859e-05
16896 16.5 2.90555017504297e-05 2.90555441076419e-05 2.90555525793466e-05
17408 17 1.71081062387844e-05 1.71076449517401e-05 1.71081259204334e-05
17920 17.5 1.67611973130145e-05 1.67587303096806e-05 1.67628714448602e-05
18432 18 1.95169254791855e-05 1.95181835883416e-05 1.95196963645255e-05
18944 18.5 1.70527345944219e-05 1.70553592244645e-05 1.7055348664282e-05
19456 19 1.47405956563195e-05 1.47405776875079e-05 1.47401618558105e-05
19968 19.5 1.92836928139728e-05 1.92816519521336e-05 1.9280740291606e-05
20480 20 2.20146651246567e-05 2.20246632755316e-05 2.20170939647717e-05
20992 20.5 1.93948655803257e-05 1.9394865419415e-05 1.93946877931708e-05
21504 21 1.75229106779464e-05 1.75115244441226e-05 1.75245694874582e-05
22016 21.5 2.05259167296518e-05 2.05202055323323e-05 2.05268763005294e-05
22528 22 1.8106541358445e-05 1.81046125390756e-05 1.81081081412384e-05
23040 22.5 1.89129908651576e-05 1.891370506289e-05 1.89134670724756e-05
23552 23 2.56588083754523e-05 2.56567672561641e-05 2.56564760669521e-05
24064 23.5 1.82868256922395e-05 1.82834544976782e-05 1.82870164799451e-05
24576 24 1.98420111991325e-05 1.9837830076679e-05 1.98408485217851e-05
