# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 12 2024 at 15:46:38+0200
# parameter filename: "TOV_lev3_r12_r10.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
# Run ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.5 1.73638288473078e-07 1.73638288150301e-07 1.73638287687363e-07
1024 1 4.73301417901728e-07 4.73301417962481e-07 4.73301418932617e-07
1536 1.5 7.8565234066057e-07 7.85652342787831e-07 7.85652342727654e-07
2048 2 8.35076438019697e-07 8.35076438249435e-07 8.35076431490727e-07
2560 2.5 8.44320160480581e-07 8.44320152104981e-07 8.44320153602769e-07
3072 3 7.98448048318377e-07 7.98448043300018e-07 7.98448041089424e-07
3584 3.5 9.23554430228859e-07 9.23554446449171e-07 9.23554441353847e-07
4096 4 8.27020847973522e-07 8.27020850890711e-07 8.27020832800399e-07
4608 4.5 8.93344211179287e-07 8.93344216441826e-07 8.9334424803584e-07
5120 5 8.96487892885288e-07 8.96487865540079e-07 8.96487853174871e-07
5632 5.5 9.1750338760666e-07 9.17503423206563e-07 9.17503404071928e-07
6144 6 8.75878945765074e-07 8.75878931427777e-07 8.75878881200814e-07
6656 6.5 9.26657959939048e-07 9.2665799190881e-07 9.26658030889778e-07
7168 7 9.09136143484167e-07 9.09136222471865e-07 9.09136237988475e-07
7680 7.5 8.77909312484602e-07 8.77909376787702e-07 8.77909350808729e-07
8192 8 9.37554941911095e-07 9.3755498619994e-07 9.37554984915641e-07
8704 8.5 9.47027651208347e-07 9.4702754175223e-07 9.47027517782286e-07
9216 9 9.39366531490257e-07 9.39366473772511e-07 9.39366521969484e-07
9728 9.5 9.98268082905089e-07 9.98267920016726e-07 9.98268021419414e-07
10240 10 9.86874166569249e-07 9.86874249395867e-07 9.86874158541498e-07
10752 10.5 1.0003518241629e-06 1.0003519454398e-06 1.00035192909344e-06
11264 11 1.00435976883222e-06 1.00435957744052e-06 1.00435987171257e-06
11776 11.5 9.91386283878596e-07 9.91386248480011e-07 9.91386363868601e-07
12288 12 9.94879208625286e-07 9.94878902321207e-07 9.94879393622657e-07
12800 12.5 9.765390116923e-07 9.76539605989957e-07 9.76539290492915e-07
13312 13 9.7338846681641e-07 9.73388256220887e-07 9.73388423917793e-07
13824 13.5 9.58057201806698e-07 9.58057495109429e-07 9.58057643496349e-07
14336 14 9.62141693036522e-07 9.621420686622e-07 9.62141124597609e-07
14848 14.5 9.68882031565978e-07 9.68883193545243e-07 9.68883452337491e-07
15360 15 9.8124479832048e-07 9.81247869903848e-07 9.81246534863845e-07
15872 15.5 9.84541616933049e-07 9.8454358571796e-07 9.84543981112457e-07
16384 16 1.015126077552e-06 1.01512436169768e-06 1.01512736123086e-06
16896 16.5 1.03750205268643e-06 1.03750523010181e-06 1.03750475337586e-06
17408 17 1.07074044344085e-06 1.07074163023337e-06 1.0707415836763e-06
17920 17.5 1.07167656956011e-06 1.071676035882e-06 1.07167630639797e-06
18432 18 1.06704629050146e-06 1.06704498321329e-06 1.06704742373418e-06
18944 18.5 1.08229701021569e-06 1.08229604209378e-06 1.082299409276e-06
19456 19 1.05862759198043e-06 1.05862665831023e-06 1.05862789812926e-06
19968 19.5 1.07675922957672e-06 1.07675968452359e-06 1.07676007667079e-06
20480 20 1.06706283360128e-06 1.06706177718077e-06 1.06706217077355e-06
20992 20.5 1.04202470014673e-06 1.04202779313386e-06 1.04202500164786e-06
21504 21 1.03663279620093e-06 1.03663382729789e-06 1.0366311720076e-06
22016 21.5 1.03303830323573e-06 1.0330334714394e-06 1.03303648734177e-06
22528 22 1.03265669793852e-06 1.03264994129561e-06 1.03265030118413e-06
23040 22.5 1.02312192488317e-06 1.02312256076184e-06 1.0231175583991e-06
23552 23 1.02232284933175e-06 1.02232419354585e-06 1.02232364892805e-06
24064 23.5 1.03627928055103e-06 1.03628237877624e-06 1.03628214387107e-06
24576 24 1.04374951775725e-06 1.04375670416678e-06 1.04375459375131e-06
25088 24.5 1.05734468103711e-06 1.05734301059385e-06 1.05734216804549e-06
25600 25 1.06845015421889e-06 1.06845121102947e-06 1.06844977160217e-06
26112 25.5 1.05353853890973e-06 1.05354529101699e-06 1.05353696429805e-06
26624 26 1.02565760878539e-06 1.02565888195812e-06 1.02565668622421e-06
27136 26.5 9.71474318502705e-07 9.71477799608251e-07 9.71482717449602e-07
27648 27 9.22267649920202e-07 9.22271867602191e-07 9.22274913229904e-07
28160 27.5 8.77211030105281e-07 8.77213311160387e-07 8.77215058424189e-07
28672 28 8.62196683272503e-07 8.62187705101682e-07 8.6219156947108e-07
29184 28.5 8.79737247542472e-07 8.79736310078412e-07 8.79736452382533e-07
29696 29 8.65242755007469e-07 8.65247298709255e-07 8.6525063102374e-07
