# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 12 2024 at 15:46:38+0200
# parameter filename: "TOV_lev3_r12_r10.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
# Run ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.5 1.56004247908577e-05 1.56004247908859e-05 1.56004247908998e-05
1024 1 1.53021893868797e-05 1.5302189402976e-05 1.53021894116446e-05
1536 1.5 1.42954368010613e-05 1.42954368018049e-05 1.4295436801903e-05
2048 2 1.78240173595239e-05 1.78240173554531e-05 1.78240173562105e-05
2560 2.5 2.71119114916156e-05 2.71119116264076e-05 2.71119116347072e-05
3072 3 1.47438337287955e-05 1.47438337287823e-05 1.47438337287691e-05
3584 3.5 3.44753073896707e-05 3.44753068281207e-05 3.4475306203459e-05
4096 4 1.77515490222736e-05 1.77515497704284e-05 1.77515498646464e-05
4608 4.5 2.84333626722808e-05 2.84333610423693e-05 2.84333606726329e-05
5120 5 3.3898852086701e-05 3.38988543376427e-05 3.38988563624528e-05
5632 5.5 1.56720694940776e-05 1.56720639880184e-05 1.56720150917973e-05
6144 6 3.25092019342956e-05 3.2509203496335e-05 3.25092038273703e-05
6656 6.5 1.4055552471603e-05 1.40555969509387e-05 1.40555917108084e-05
7168 7 3.33364493645171e-05 3.33364301053225e-05 3.33364136654262e-05
7680 7.5 1.44434339620346e-05 1.44433909011711e-05 1.44433371184201e-05
8192 8 3.10484138975035e-05 3.10484005278275e-05 3.1048427789715e-05
8704 8.5 2.70995002772295e-05 2.7099528112133e-05 2.70994852403166e-05
9216 9 1.35930035271245e-05 1.35930311574853e-05 1.35930194997118e-05
