# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 14 2024 at 16:52:33+0200
# parameter filename: "TOV_lev3_r12_r10_res.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
# Run ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
#
# ADMBASE::alp (admbase-lapse)
# 1:iteration 2:time 3:data
# data columns: 3:alp
0 0 0.966875255744351
512 0.375 0.966881992191193
1024 0.75 0.966887800531795
1536 1.125 0.966893238647587
2048 1.5 0.966899147879999
2560 1.875 0.96690528853803
3072 2.25 0.96691143219624
3584 2.625 0.966917642039297
4096 3 0.96692395864296
4608 3.375 0.966930364979839
5120 3.75 0.96693684263824
5632 4.125 0.96694339691376
6144 4.5 0.966950044639579
6656 4.875 0.966956782569824
7168 5.25 0.966963597547266
7680 5.625 0.966970492175791
8192 6 0.966977474793513
8704 6.375 0.966984543094142
9216 6.75 0.966991691496963
9728 7.125 0.966998920869898
10240 7.5 0.96700623509373
10752 7.875 0.967013633890212
11264 8.25 0.967021113612937
11776 8.625 0.96702867378823
12288 9 0.967036316847518
12800 9.375 0.96704404232805
13312 9.75 0.967051847321957
13824 10.125 0.967059730999924
14336 10.5 0.967067694247205
14848 10.875 0.967075736321722
15360 11.25 0.967083854773723
15872 11.625 0.967092048067045
16384 12 0.967100316052769
16896 12.375 0.967108657652062
17408 12.75 0.967117070258291
17920 13.125 0.967125551810031
18432 13.5 0.967134101299273
18944 13.875 0.967142717028034
19456 14.25 0.967151396150538
19968 14.625 0.967160136043433
20480 15 0.967168934803222
20992 15.375 0.967177790139926
21504 15.75 0.967186698800456
22016 16.125 0.967195657518591
22528 16.5 0.967204663605198
23040 16.875 0.967213714102166
23552 17.25 0.967222805239685
24064 17.625 0.967231933165977
24576 18 0.967241094442036
25088 18.375 0.967250285419468
25600 18.75 0.967259501670316
26112 19.125 0.967268738426531
26624 19.5 0.967277991270117
27136 19.875 0.96728725600156
27648 20.25 0.967296528026041
28160 20.625 0.967305802324627
28672 21 0.967315074043434
29184 21.375 0.967324338668447
29696 21.75 0.967333591398752
30208 22.125 0.967342826906035
30720 22.5 0.967352040176346
31232 22.875 0.967361226770451
31744 23.25 0.967370381757212
32256 23.625 0.96737949970067
32768 24 0.967388575982014
33280 24.375 0.96739760647755
33792 24.75 0.967406586200765
34304 25.125 0.96741550957045
34816 25.5 0.967424370967157
35328 25.875 0.967433165580726
35840 26.25 0.967441892147246
36352 26.625 0.967450550461349
36864 27 0.967459129813877
37376 27.375 0.967467607914774
37888 27.75 0.967475975390969
38400 28.125 0.967484253416863
38912 28.5 0.967492463013931
39424 28.875 0.967500580188876
39936 29.25 0.967508553968831
40448 29.625 0.967516372714284
40960 30 0.967524080698922
