# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 14 2024 at 16:52:33+0200
# parameter filename: "TOV_lev3_r12_r10_res.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
# Run ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
0 0 0 0 0
512 0.375 2.18756519682556e-07 2.18756519682553e-07 2.1875651968255e-07
1024 0.75 7.74161586141036e-07 7.74161586141036e-07 7.74161586141036e-07
1536 1.125 2.16204848358141e-06 2.16204848358141e-06 2.16204848358141e-06
2048 1.5 3.60447617136385e-06 3.60447617136385e-06 3.60447617136386e-06
2560 1.875 4.4443904169465e-06 4.44439041694649e-06 4.44439041694649e-06
3072 2.25 5.22436893724723e-06 5.22436893724723e-06 5.22436893724723e-06
3584 2.625 5.92451735950051e-06 5.92451735950051e-06 5.9245173595005e-06
4096 3 6.18824718759233e-06 6.18824718759234e-06 6.18824718759235e-06
4608 3.375 6.59817332335212e-06 6.59817332335213e-06 6.59817332335214e-06
5120 3.75 6.76035967639038e-06 6.76035967639039e-06 6.76035967639041e-06
5632 4.125 6.84080833213591e-06 6.84080833213592e-06 6.84080833213595e-06
6144 4.5 7.05848911069959e-06 7.05848911069969e-06 7.05848911069969e-06
6656 4.875 6.84404891588257e-06 6.84404891587823e-06 6.84404891587822e-06
7168 5.25 7.15416824253836e-06 7.15416824254013e-06 7.15416824254e-06
7680 5.625 7.05668702891024e-06 7.05668702891672e-06 7.05668702892422e-06
8192 6 7.1032399282052e-06 7.10323992824927e-06 7.10323992827102e-06
8704 6.375 7.20134495965962e-06 7.201344959582e-06 7.20134495956859e-06
9216 6.75 6.93742294624874e-06 6.93742294595174e-06 6.93742294658288e-06
9728 7.125 7.29095025703095e-06 7.2909502569596e-06 7.29095025815726e-06
10240 7.5 7.20128371177422e-06 7.20128371941779e-06 7.20128371417432e-06
10752 7.875 7.17026843466785e-06 7.17026843738547e-06 7.17026843518758e-06
11264 8.25 7.33172843341582e-06 7.33172849038698e-06 7.33172842019943e-06
