# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 14 2024 at 16:52:33+0200
# parameter filename: "TOV_lev3_r12_r10_res.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
# Run ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
0 0 0 0 0
512 0.375 -2.64032520105537e-07 -2.64032520105571e-07 -2.64032520105573e-07
1024 0.75 -2.57543596963004e-07 -2.57543596962996e-07 -2.57543596962978e-07
1536 1.125 -4.21926860420542e-07 -4.21926860420558e-07 -4.2192686042162e-07
2048 1.5 -5.40174850303846e-07 -5.40174850303853e-07 -5.40174850307131e-07
2560 1.875 -6.13450188799342e-07 -6.13450188799358e-07 -6.13450188798107e-07
3072 2.25 -6.41898752590439e-07 -6.41898752590486e-07 -6.41898752592497e-07
3584 2.625 -6.74008657276976e-07 -6.74008657244291e-07 -6.74008657182324e-07
4096 3 -9.95533375757666e-07 -9.95533375755433e-07 -9.95533375782332e-07
4608 3.375 -1.0696198993111e-06 -1.06961989929794e-06 -1.06961989872587e-06
5120 3.75 -1.20104287115292e-06 -1.20104287104812e-06 -1.20104287104219e-06
5632 4.125 -1.40985120395219e-06 -1.4098512037353e-06 -1.40985120386625e-06
6144 4.5 -1.6346002740964e-06 -1.6346002741802e-06 -1.63460027416683e-06
6656 4.875 -1.91555063642425e-06 -1.91555063671573e-06 -1.9155506366971e-06
7168 5.25 -2.22391281002346e-06 -2.22391281002595e-06 -2.22391280951197e-06
7680 5.625 -2.46348341750204e-06 -2.46348341711947e-06 -2.4634834163547e-06
8192 6 -2.81811845279349e-06 -2.81811845065757e-06 -2.81811844922774e-06
8704 6.375 -3.16353160039192e-06 -3.16353159788039e-06 -3.16353159712223e-06
9216 6.75 -3.44108937937638e-06 -3.44108937227338e-06 -3.44108937052975e-06
9728 7.125 -3.7431571962946e-06 -3.74315716606663e-06 -3.74315719109445e-06
10240 7.5 -4.25246924242188e-06 -4.25246918501076e-06 -4.25246921933359e-06
10752 7.875 -4.69585912759095e-06 -4.69585907147905e-06 -4.69585910392423e-06
11264 8.25 -4.97805889152307e-06 -4.97805892460409e-06 -4.97805889996036e-06
11776 8.625 -5.44587713037519e-06 -5.44587713530546e-06 -5.44587712788551e-06
12288 9 -5.83687263011772e-06 -5.83687256866559e-06 -5.83687261384455e-06
12800 9.375 -6.03806947978202e-06 -6.03806942665695e-06 -6.03806942362093e-06
13312 9.75 -6.4468726741904e-06 -6.44687271136381e-06 -6.44687260222743e-06
13824 10.125 -6.79225342967018e-06 -6.79225349498894e-06 -6.79225347132561e-06
14336 10.5 -7.16296550876935e-06 -7.16296540398384e-06 -7.16296544544895e-06
14848 10.875 -7.54726063212528e-06 -7.54726031275122e-06 -7.54726027433033e-06
15360 11.25 -8.01328451380365e-06 -8.01328459963451e-06 -8.01328433199244e-06
15872 11.625 -8.40048476873123e-06 -8.40048459282769e-06 -8.40048444613014e-06
16384 12 -8.71832777981891e-06 -8.71832657191173e-06 -8.71832649850774e-06
16896 12.375 -9.25149287368115e-06 -9.25149425516009e-06 -9.25149422298753e-06
17408 12.75 -9.72195574200346e-06 -9.72195813286935e-06 -9.72195792657768e-06
17920 13.125 -1.00284648730917e-05 -1.00284643565934e-05 -1.00284639929667e-05
18432 13.5 -1.03480041952875e-05 -1.0348005399067e-05 -1.0348004998678e-05
18944 13.875 -1.02226243429856e-05 -1.02226233769318e-05 -1.02226227466186e-05
19456 14.25 -9.96687738930867e-06 -9.966878821429e-06 -9.96687840291657e-06
19968 14.625 -9.37759577507772e-06 -9.37759846314749e-06 -9.37759866295652e-06
20480 15 -8.20717419807569e-06 -8.20717452010435e-06 -8.20717472817778e-06
20992 15.375 -6.65155986131362e-06 -6.65155891778296e-06 -6.65155912358768e-06
21504 15.75 -4.991216355259e-06 -4.99121775388206e-06 -4.99121769118836e-06
22016 16.125 -5.34623751894899e-06 -5.34623980901541e-06 -5.34623997299288e-06
22528 16.5 -6.28683618430308e-06 -6.28683423421477e-06 -6.28683432711674e-06
23040 16.875 -7.22889951989288e-06 -7.2288978957403e-06 -7.22889738940281e-06
23552 17.25 -7.4654906623982e-06 -7.46548339553274e-06 -7.46548803852012e-06
24064 17.625 -7.64367383411256e-06 -7.64365414751693e-06 -7.64366928468973e-06
24576 18 -7.10314485876552e-06 -7.10316136450647e-06 -7.10315474961821e-06
25088 18.375 -7.45446011454402e-06 -7.45443561821431e-06 -7.45445206959133e-06
25600 18.75 -8.12301308999788e-06 -8.12301011621951e-06 -8.12302243331211e-06
26112 19.125 -8.54598376222332e-06 -8.54598259106718e-06 -8.54597990228435e-06
26624 19.5 -8.58921002211051e-06 -8.58917181601013e-06 -8.58920717950538e-06
27136 19.875 -7.63291816953047e-06 -7.63295324230581e-06 -7.63292984375153e-06
27648 20.25 -6.24735055177357e-06 -6.24732390556746e-06 -6.24736667780767e-06
28160 20.625 -6.21192870142482e-06 -6.21192678659685e-06 -6.21193267006895e-06
28672 21 -6.93824451790879e-06 -6.93824595935491e-06 -6.93824987569244e-06
