# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 14 2024 at 16:52:33+0200
# parameter filename: "TOV_lev3_r12_r10_res.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
# Run ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
0 0 0 0 4.53344106674194 0 0.268213510513306 0 4.30849885940552 0 0 0 0 0 0 0 0 0 36.5748363817514 155932.594740169 0 155932.594740169 238 1065439 2143 1063296 0 0 0 0 4.53140878677368 1718376753.02499 399
512 0.375 180.086392839888 148.86378080926 12.0963890552521 7.49640202522278 7.76636791229248 0 4.33706021308899 7 200838.748366788 200838.748366788 1505568 1505568 145266.488688303 145266.488688303 1088976 1088976 60.045896178301 248991.393899543 3427.69688876286 245563.69701078 264 1078342 15046 1063296 0 0 0 0 12.087867975235 1718376760.58794 1907
1024 0.75 266.19424401312 170.249442765804 14.742956161499 10.1429691314697 10.346421957016 0 4.42009377479553 14 296869.285607663 296869.285607663 3011136 3011136 214725.291161801 214725.291161801 2177952 2177952 81.4277754588959 249488.335353228 3709.28536922814 245779.049984 398 1106881 16513 1090368 0 0 0 0 14.7284061908722 1718376763.23451 3415
1536 1.125 306.433859933164 197.649534379363 17.8165421485901 13.2165551185608 13.3792197704315 0 4.4443051815033 21 341745.936023596 341745.936023596 4516704 4516704 247184.53263302 247184.53263302 3266928 3266928 94.6516759898555 249732.136987501 4005.56878343736 245726.568204064 424 1108350 17982 1090368 0 0 0 0 17.7967405319214 1718376766.30809 4923
2048 1.5 336.941057990777 219.114299849353 20.6265289783478 16.0265419483185 16.070835351944 0 4.6034107208252 28 375768.647997821 375768.647997821 6022272 6022272 271793.130049307 271793.130049307 4355904 4355904 132.14233646243 389561.534540886 4229.21328342465 385332.321257461 684 2173132 19468 2153664 0 0 0 0 20.6008875370026 1718376769.11808 6431
2560 1.875 364.948761862859 236.403929483767 23.0957341194153 18.495747089386 18.4745676517487 0 4.63011240959167 35 407003.835185438 407003.835185438 7527840 7527840 294385.513258051 294385.513258051 5444880 5444880 152.775279778329 470524.274598986 4480.90328380999 466043.371315176 710 2174578 20914 2153664 0 0 0 0 23.0648126602173 1718376771.58729 7939
3072 2.25 386.130623720548 252.656304481825 25.5773441791534 20.9773571491241 20.8856465816498 0 4.71655011177063 42 430626.600661998 430626.600661998 9033408 9033408 311471.838590154 311471.838590154 6533856 6533856 171.366543408038 467452.122482685 4731.76276574434 462720.35971694 844 2203140 22404 2180736 0 0 0 0 25.5405950546265 1718376774.0689 9447
3584 2.625 401.761987651296 267.668111839902 28.1213760375977 23.5213890075684 23.3863587379456 0 4.74393558502197 49 448059.253499397 448059.253499397 10538976 10538976 324080.860936709 324080.860936709 7622832 7622832 182.892679201748 465552.89252311 4997.8698075166 460555.022715593 870 2204609 23873 2180736 0 0 0 0 28.0790591239929 1718376776.61293 10955
4096 3 413.848597876484 281.319162523982 30.6964871883392 26.0965001583099 25.848123550415 0 4.89298701286316 56 461538.670968668 461538.670968668 12044544 12044544 333830.51164529 333830.51164529 8711808 8711808 216.155403815523 592156.078711373 5190.20475344829 586965.873957925 1130 3269388 25356 3244032 0 0 0 0 30.6481559276581 1718376779.18804 12463
4608 3.375 424.462643950128 293.24523703966 33.2244141101837 28.6244270801544 28.3138966560364 0 4.91962361335754 63 473375.832538301 473375.832538301 13550112 13550112 342392.320117211 342392.320117211 9800784 9800784 234.598494101073 666037.54706904 5408.18768041857 660629.359388621 1156 3270797 26765 3244032 0 0 0 0 33.1706116199493 1718376781.71597 13971
5120 3.75 432.31576347058 304.370971313273 35.827162027359 31.2271749973297 30.8441607952118 0 5.00733947753906 70 482133.910649536 482133.910649536 15055680 15055680 348727.030252695 348727.030252695 10889760 10889760 250.852837831101 660118.03865892 5630.54245682175 654487.496202098 1290 3299365 28261 3271104 0 0 0 0 35.7660419940948 1718376784.31871 15479
5632 4.125 439.858553842407 314.08145583307 38.3608400821686 33.7608530521393 33.335045337677 0 5.03445553779602 77 490545.8986603 490545.8986603 16561248 16561248 354811.413725251 354811.413725251 11978736 11978736 261.053239676768 656739.116458665 5876.08557479749 650863.030883867 1316 3300842 29738 3271104 0 0 0 0 38.2951865196228 1718376786.85239 16987
6144 4.5 445.415313507102 323.174840957038 40.9705371856689 36.3705501556396 35.8320806026459 0 5.18390464782715 84 496742.994612044 496742.994612044 18066816 18066816 359293.7677346 359293.7677346 13067712 13067712 290.748783386829 772063.738576146 6037.61061298058 766026.127963165 1576 4365623 31223 4334400 0 0 0 0 40.8987994194031 1718376789.46209 18495
6656 4.875 450.927025823919 331.217447631018 43.519809961319 38.9198229312897 38.3181171417236 0 5.21099472045898 91 502889.852159752 502889.852159752 19572384 19572384 363739.784350835 363739.784350835 14156688 14156688 307.207683233459 839509.204301633 6242.00642484804 833267.197876785 1602 4367077 32677 4334400 0 0 0 0 43.4425354003906 1718376792.01136 20003
7168 5.25 455.719298831384 338.629424004304 46.0728850364685 41.4728980064392 40.8004562854767 0 5.29816102981567 98 508234.365409607 508234.365409607 21077952 21077952 367605.46604756 367605.46604756 15245664 15245664 321.673384335627 831809.059377994 6443.7096458836 825365.349732111 1736 4395648 34176 4361472 0 0 0 0 45.9895861148834 1718376794.56444 21511
7680 5.625 459.866004460548 345.448269081138 48.634553194046 44.0345661640167 43.3176221847534 0 5.32593512535095 105 512858.918965673 512858.918965673 22583520 22583520 370950.401535874 370950.401535874 16334640 16334640 330.641867823276 826966.156287402 6667.38009916673 820298.776188235 1762 4397129 35657 4361472 0 0 0 0 48.5455296039581 1718376797.1261 23019
8192 6 462.978115073568 351.879313352233 51.2544600963593 46.65447306633 45.8231887817383 0 5.47837018966675 112 516329.655374135 516329.655374135 24089088 24089088 373460.782103966 373460.782103966 17423616 17423616 357.190773139527 932288.355098196 6803.37951457663 925484.975583619 2022 5461911 37143 5424768 0 0 0 0 51.1592535972595 1718376799.74601 24527
