# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 14 2024 at 16:52:33+0200
# parameter filename: "TOV_lev3_r12_r10_res.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
# Run ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
#
# GRHYDRO::dens (grhydro-dens)
# 1:iteration 2:time 3:data
# data columns: 3:dens
0 0 0.00370720323063203
512 0.375 0.00370488916954912
1024 0.75 0.00370260897948281
1536 1.125 0.00370063201713199
2048 1.5 0.00369908201847003
2560 1.875 0.00369805226426861
3072 2.25 0.00369754394340025
3584 2.625 0.00369750222737638
4096 3 0.00369783658697077
4608 3.375 0.00369843970406582
5120 3.75 0.00369920277267642
5632 4.125 0.00370002632405967
6144 4.5 0.00370082742996906
6656 4.875 0.00370154434784182
7168 5.25 0.00370213833529115
7680 5.625 0.00370259277446905
8192 6 0.00370290973657167
8704 6.375 0.00370310575978725
9216 6.75 0.00370320713143569
9728 7.125 0.00370324415749142
10240 7.5 0.00370324644892176
10752 7.875 0.00370324102207342
11264 8.25 0.00370325306658934
11776 8.625 0.0037033020722151
12288 9 0.00370338954846371
12800 9.375 0.00370350384992272
13312 9.75 0.00370364909914978
13824 10.125 0.00370383623710028
14336 10.5 0.00370404931076418
14848 10.875 0.00370426755790935
15360 11.25 0.00370448769933767
15872 11.625 0.00370470480239806
16384 12 0.00370491015331908
16896 12.375 0.00370510025417701
17408 12.75 0.00370527370513644
17920 13.125 0.00370543038513741
18432 13.5 0.00370556921890696
18944 13.875 0.00370569385963752
19456 14.25 0.00370580895911259
19968 14.625 0.00370591250267505
20480 15 0.00370600839239005
20992 15.375 0.00370610062574466
21504 15.75 0.00370619554708723
22016 16.125 0.00370629577216078
22528 16.5 0.00370639908941051
23040 16.875 0.00370650310412786
23552 17.25 0.00370660327525356
24064 17.625 0.00370669478322886
24576 18 0.00370677487497453
25088 18.375 0.00370684395460397
25600 18.75 0.00370690165662768
26112 19.125 0.0037069475976995
26624 19.5 0.00370698347697287
27136 19.875 0.00370701179465517
27648 20.25 0.00370703894207613
28160 20.625 0.00370708023088531
28672 21 0.00370715481899684
29184 21.375 0.00370728507670819
29696 21.75 0.00370748702709465
30208 22.125 0.00370775232966642
30720 22.5 0.00370804627017508
31232 22.875 0.00370831875130682
31744 23.25 0.00370852639255127
32256 23.625 0.00370865825252187
32768 24 0.00370874024806469
33280 24.375 0.00370880994256
33792 24.75 0.00370888781920171
34304 25.125 0.00370896759870314
34816 25.5 0.00370902853769555
35328 25.875 0.00370906278262876
35840 26.25 0.00370908715688584
36352 26.625 0.00370912336205015
36864 27 0.00370917363696069
37376 27.375 0.00370922163339052
37888 27.75 0.00370925105116737
38400 28.125 0.00370926365572716
38912 28.5 0.00370927310094566
39424 28.875 0.00370928169964674
39936 29.25 0.00370927187123092
40448 29.625 0.00370922393123679
40960 30 0.00370914168997782
41472 30.375 0.00370904672372468
41984 30.75 0.0037089560411214
42496 31.125 0.0037088668699784
43008 31.5 0.00370876160028204
43520 31.875 0.00370863818657801
44032 32.25 0.00370851113608624
44544 32.625 0.00370838406380588
45056 33 0.00370824662270237
45568 33.375 0.00370808707915996
46080 33.75 0.00370790508871845
46592 34.125 0.00370771147857243
47104 34.5 0.00370750678848949
47616 34.875 0.00370727931595633
48128 35.25 0.00370702329662752
48640 35.625 0.00370674191872229
49152 36 0.00370643919105299
49664 36.375 0.00370610915536694
50176 36.75 0.00370574040245659
50688 37.125 0.00370532849739193
51200 37.5 0.00370487410241891
51712 37.875 0.00370437831620975
52224 38.25 0.00370383918577527
52736 38.625 0.00370324761399874
53248 39 0.00370259997916008
53760 39.375 0.00370190491725494
54272 39.75 0.00370116679595871
54784 40.125 0.00370038349243126
55296 40.5 0.00369955162776227
55808 40.875 0.00369867561660112
56320 41.25 0.00369776968652282
56832 41.625 0.00369683945446781
57344 42 0.00369588545643031
57856 42.375 0.00369491280327461
58368 42.75 0.00369393362490118
58880 43.125 0.00369295788092599
59392 43.5 0.00369198369644478
59904 43.875 0.00369101313035491
60416 44.25 0.00369005900059333
60928 44.625 0.00368913369247563
61440 45 0.00368823922714702
61952 45.375 0.00368737469175445
62464 45.75 0.00368654597744096
62976 46.125 0.00368576250386159
63488 46.5 0.00368503340241357
64000 46.875 0.0036843603196189
64512 47.25 0.00368373909316695
65024 47.625 0.00368317416622983
65536 48 0.00368267626167181
66048 48.375 0.00368224772114792
66560 48.75 0.00368188558468936
67072 49.125 0.00368158616288714
67584 49.5 0.00368134900595115
68096 49.875 0.00368118258368381
68608 50.25 0.00368108755714661
69120 50.625 0.0036810540308533
69632 51 0.00368107669822222
70144 51.375 0.00368116011782514
70656 51.75 0.00368130845129254
71168 52.125 0.00368151594085734
71680 52.5 0.00368177497213245
72192 52.875 0.00368208077985888
72704 53.25 0.00368243536572142
73216 53.625 0.00368284076475538
73728 54 0.00368328885254592
74240 54.375 0.00368377079603765
74752 54.75 0.00368428556393923
75264 55.125 0.00368483127757909
75776 55.5 0.00368540587403926
76288 55.875 0.0036860042726219
76800 56.25 0.00368661837164207
77312 56.625 0.00368724643198394
77824 57 0.00368788518817467
78336 57.375 0.0036885300212034
78848 57.75 0.00368917766499116
79360 58.125 0.00368982399476139
79872 58.5 0.0036904644016866
80384 58.875 0.00369109296005404
80896 59.25 0.00369170755306814
81408 59.625 0.00369230907630739
81920 60 0.00369289525182088
82432 60.375 0.00369346511130033
82944 60.75 0.00369401916742489
83456 61.125 0.00369455611280447
83968 61.5 0.00369507326089105
84480 61.875 0.00369556565433091
84992 62.25 0.00369602574726241
85504 62.625 0.00369644930880241
86016 63 0.00369684461350472
86528 63.375 0.00369722575841498
87040 63.75 0.0036976036542451
87552 64.125 0.00369797962031318
88064 64.5 0.00369834324019226
88576 64.875 0.00369868281380199
89088 65.25 0.00369898601129349
89600 65.625 0.00369924623200892
90112 66 0.0036994773008531
90624 66.375 0.00369969888022032
91136 66.75 0.00369992129661527
91648 67.125 0.00370014311360136
92160 67.5 0.00370034672024152
92672 67.875 0.00370051641160716
93184 68.25 0.00370065556096424
93696 68.625 0.00370078084221281
94208 69 0.00370090585887
94720 69.375 0.00370103166997048
95232 69.75 0.00370114542836535
95744 70.125 0.00370123209094039
96256 70.5 0.00370129123928583
96768 70.875 0.00370133584926057
97280 71.25 0.00370138062029536
97792 71.625 0.00370142641607034
98304 72 0.00370146115077203
98816 72.375 0.00370147248752621
99328 72.75 0.00370146086232805
99840 73.125 0.00370144240645895
100352 73.5 0.00370142846593598
100864 73.875 0.0037014141803224
101376 74.25 0.00370138669120633
101888 74.625 0.00370133897351439
102400 75 0.00370127885298154
102912 75.375 0.00370121984427217
103424 75.75 0.00370116580306559
103936 76.125 0.00370110737539375
104448 76.5 0.00370103498253239
104960 76.875 0.00370094868622461
105472 77.25 0.00370085781176063
105984 77.625 0.00370077297480158
106496 78 0.00370069094770654
107008 78.375 0.00370060101310678
107520 78.75 0.00370049826871788
108032 79.125 0.00370038835774777
108544 79.5 0.00370028388708119
109056 79.875 0.00370018731493751
109568 80.25 0.00370008750033887
110080 80.625 0.00369997484797657
110592 81 0.00369985492476693
111104 81.375 0.00369974117881882
111616 81.75 0.00369963754040388
112128 82.125 0.00369953345641959
112640 82.5 0.00369941847216056
113152 82.875 0.00369929807065601
113664 83.25 0.00369918394639115
114176 83.625 0.00369907875946269
114688 84 0.00369897334204738
115200 84.375 0.00369885843281052
115712 84.75 0.00369873926792644
116224 85.125 0.00369862781505586
116736 85.5 0.0036985260909544
117248 85.875 0.00369842575378013
117760 86.25 0.00369832005113687
118272 86.625 0.00369821245369212
118784 87 0.00369811172444131
119296 87.375 0.00369802113931916
119808 87.75 0.00369793349354205
120320 88.125 0.00369784314344584
120832 88.5 0.00369775482511086
121344 88.875 0.00369767480443215
121856 89.25 0.00369760439320471
122368 89.625 0.00369753866367761
122880 90 0.00369747262808536
123392 90.375 0.00369740997247916
123904 90.75 0.00369735784565113
124416 91.125 0.0036973163415603
124928 91.5 0.00369728017162886
125440 91.875 0.00369724614685437
125952 92.25 0.00369721656583079
126464 92.625 0.00369719716515179
126976 93 0.00369718946073893
127488 93.375 0.00369718791851893
128000 93.75 0.00369718847639478
128512 94.125 0.00369719509600365
129024 94.5 0.00369721251568045
129536 94.875 0.00369723922012869
130048 95.25 0.00369727125619315
130560 95.625 0.00369730763556144
131072 96 0.00369735178927303
131584 96.375 0.00369740558189854
132096 96.75 0.00369746710903977
132608 97.125 0.00369753382286914
133120 97.5 0.00369760535119907
133632 97.875 0.00369768494598787
134144 98.25 0.00369777380995507
134656 98.625 0.00369786838078925
135168 99 0.00369796616738987
135680 99.375 0.00369806963398626
136192 99.75 0.00369818127157547
136704 100.125 0.00369830027659458
137216 100.5 0.00369842493378779
137728 100.875 0.00369855347157961
138240 101.25 0.00369868709301191
138752 101.625 0.003698829770209
139264 102 0.00369898034755123
139776 102.375 0.00369913452779352
140288 102.75 0.00369929228552131
140800 103.125 0.00369945688755741
141312 103.5 0.00369963033583212
141824 103.875 0.00369981051887238
142336 104.25 0.00369999406094653
142848 104.625 0.00370018136357972
143360 105 0.00370037539167319
143872 105.375 0.00370057716791159
144384 105.75 0.00370078545122863
144896 106.125 0.00370099903957325
145408 106.5 0.00370121869815002
145920 106.875 0.00370144551788864
146432 107.25 0.00370167871223455
146944 107.625 0.00370191643306619
147456 108 0.00370215729665182
147968 108.375 0.00370240299101921
148480 108.75 0.00370265608085822
148992 109.125 0.00370291630990724
149504 109.5 0.00370318159271719
150016 109.875 0.0037034505960491
150528 110.25 0.00370372339838302
151040 110.625 0.00370400013344311
151552 111 0.0037042804433662
152064 111.375 0.00370456488722432
152576 111.75 0.0037048536890865
153088 112.125 0.00370514456268543
153600 112.5 0.00370543703153469
154112 112.875 0.00370573167297977
154624 113.25 0.00370602812664955
155136 113.625 0.00370632632980943
155648 114 0.00370662502936041
156160 114.375 0.00370692377290957
156672 114.75 0.00370722370998899
157184 115.125 0.00370752375228766
157696 115.5 0.00370782156593792
158208 115.875 0.00370811729266488
158720 116.25 0.00370841195159339
159232 116.625 0.00370870610248454
159744 117 0.00370899842899429
160256 117.375 0.00370928695809497
160768 117.75 0.00370957250162093
161280 118.125 0.00370985514159477
161792 118.5 0.0037101348254552
162304 118.875 0.00371041090365758
162816 119.25 0.00371068151501776
163328 119.625 0.00371094854526826
163840 120 0.00371121295344856
164352 120.375 0.00371147201258684
164864 120.75 0.00371172440800521
165376 121.125 0.00371197081923433
165888 121.5 0.00371221231514837
166400 121.875 0.00371244974663817
166912 122.25 0.00371268149821826
167424 122.625 0.00371290492748109
167936 123 0.00371312039816993
168448 123.375 0.00371333067297556
168960 123.75 0.00371353614787773
169472 124.125 0.00371373390980157
169984 124.5 0.0037139223552126
170496 124.875 0.00371410227917222
171008 125.25 0.00371427479173831
171520 125.625 0.00371444073310023
172032 126 0.00371459850343654
172544 126.375 0.00371474541487394
173056 126.75 0.00371488292557568
173568 127.125 0.00371501243088679
174080 127.5 0.00371513228612227
174592 127.875 0.00371524202293229
175104 128.25 0.0037153416091481
175616 128.625 0.00371543090913354
176128 129 0.00371550952192562
176640 129.375 0.00371557668440019
177152 129.75 0.00371563301290685
177664 130.125 0.003715678569298
178176 130.5 0.00371571282452153
178688 130.875 0.00371573505152061
179200 131.25 0.00371574429396628
179712 131.625 0.00371574192276908
180224 132 0.00371572893390144
180736 132.375 0.00371570403975022
181248 132.75 0.00371566637600686
181760 133.125 0.00371561550554814
182272 133.5 0.00371555275558513
182784 133.875 0.00371548040728209
183296 134.25 0.00371539732725874
183808 134.625 0.0037153008195758
184320 135 0.00371519139747045
184832 135.375 0.00371507241254216
185344 135.75 0.00371494550346979
185856 136.125 0.0037148084984146
186368 136.5 0.00371465946879028
186880 136.875 0.00371450030759347
187392 137.25 0.00371433405353703
187904 137.625 0.00371416158525888
188416 138 0.0037139811037731
188928 138.375 0.00371379115407224
189440 138.75 0.00371359459122139
189952 139.125 0.0037133941317845
190464 139.5 0.00371318864161129
190976 139.875 0.00371297767317903
191488 140.25 0.00371276227842315
192000 140.625 0.00371254371264909
192512 141 0.00371232279040367
193024 141.375 0.00371209959750543
193536 141.75 0.00371187477081988
194048 142.125 0.00371164913451498
194560 142.5 0.00371142349667209
195072 142.875 0.00371119794553886
195584 143.25 0.00371097257290602
196096 143.625 0.00371074884576308
196608 144 0.00371052801675259
197120 144.375 0.00371030955033287
197632 144.75 0.00371009274767328
198144 145.125 0.0037098790364623
198656 145.5 0.00370966999968982
199168 145.875 0.00370946609978022
199680 146.25 0.00370926634334501
200192 146.625 0.00370906997015681
200704 147 0.0037088789406677
201216 147.375 0.00370869491241201
201728 147.75 0.00370851743513623
202240 148.125 0.00370834501204105
202752 148.5 0.0037081774973063
203264 148.875 0.00370801771357645
203776 149.25 0.00370786659742937
204288 149.625 0.00370772193196475
204800 150 0.00370758301276887
205312 150.375 0.00370745082621072
205824 150.75 0.00370732732015191
206336 151.125 0.0037072128698796
206848 151.5 0.00370710480640744
207360 151.875 0.00370700256872125
207872 152.25 0.00370690880064266
208384 152.625 0.00370682417764171
208896 153 0.00370674711857288
209408 153.375 0.00370667642531757
209920 153.75 0.00370661217168616
210432 154.125 0.00370655610305928
210944 154.5 0.00370650826613771
211456 154.875 0.00370646688799424
211968 155.25 0.00370643157359437
212480 155.625 0.0037064026369614
212992 156 0.00370638055978306
213504 156.375 0.00370636522777478
214016 156.75 0.00370635535311821
214528 157.125 0.00370635040013321
215040 157.5 0.00370635081856827
215552 157.875 0.00370635675544357
216064 158.25 0.00370636759429321
216576 158.625 0.00370638248505975
217088 159 0.00370640103605782
217600 159.375 0.00370642316321925
218112 159.75 0.00370644921540743
218624 160.125 0.00370647864940165
219136 160.5 0.00370651022624436
219648 160.875 0.0037065440189793
220160 161.25 0.00370658000495897
220672 161.625 0.00370661768192788
221184 162 0.00370665660355196
221696 162.375 0.00370669663694586
222208 162.75 0.00370673761166803
222720 163.125 0.00370677844266581
223232 163.5 0.00370681910263162
223744 163.875 0.00370685973278547
224256 164.25 0.00370689991090462
224768 164.625 0.00370693937864811
225280 165 0.00370697714300339
225792 165.375 0.00370701331984663
226304 165.75 0.00370704838335666
226816 166.125 0.00370708156005405
227328 166.5 0.0037071123664669
227840 166.875 0.00370714071717483
228352 167.25 0.0037071666063449
