# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 14 2024 at 16:52:33+0200
# parameter filename: "TOV_lev3_r12_r10_res.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
# Run ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
#
# HYDROBASE::rho (hydrobase-rho)
# 1:iteration 2:time 3:data
# data columns: 3:rho
0 0 0.00127999999244924
512 0.375 0.00127920119458741
1024 0.75 0.00127841378589406
1536 1.125 0.00127773152103415
2048 1.5 0.00127719695024023
2560 1.875 0.00127684120169544
3072 2.25 0.00127666452610753
3584 2.625 0.0012766483693075
4096 3 0.00127676116323214
4608 3.375 0.00127696567011822
5120 3.75 0.00127722479962922
5632 4.125 0.0012775043030357
6144 4.5 0.00127777532054475
6656 4.875 0.00127801684563054
7168 5.25 0.00127821578176591
7680 5.625 0.00127836616497676
8192 6 0.00127846880143291
8704 6.375 0.00127852973474088
9216 6.75 0.00127855782994176
9728 7.125 0.0012785634224833
10240 7.5 0.00127855721870361
10752 7.875 0.00127854845823545
11264 8.25 0.00127854439479809
11776 8.625 0.00127855077645393
12288 9 0.00127857058773813
12800 9.375 0.00127860313052439
13312 9.75 0.00127864700400999
13824 10.125 0.00127870125415762
14336 10.5 0.00127876288886232
14848 10.875 0.00127882852484495
15360 11.25 0.00127889553130832
15872 11.625 0.00127896048728492
16384 12 0.0012790208798937
16896 12.375 0.00127907618855269
17408 12.75 0.00127912617515903
17920 13.125 0.00127916977313579
18432 13.5 0.00127920724139611
18944 13.875 0.00127924058238548
19456 14.25 0.00127926936302
19968 14.625 0.00127929451343472
20480 15 0.00127931783459542
20992 15.375 0.00127933945497806
21504 15.75 0.00127936164303121
22016 16.125 0.00127938567297347
22528 16.5 0.00127941187118071
23040 16.875 0.00127943791938861
23552 17.25 0.00127946200817023
24064 17.625 0.0012794837201556
24576 18 0.00127950216734179
25088 18.375 0.00127951635794837
25600 18.75 0.00127952671030438
26112 19.125 0.00127953388476449
26624 19.5 0.00127953800379992
27136 19.875 0.00127953939201756
27648 20.25 0.0012795402169157
28160 20.625 0.00127954117068514
28672 21 0.00127954404216856
29184 21.375 0.00127955238155273
29696 21.75 0.00127956672736455
30208 22.125 0.00127958622561627
30720 22.5 0.00127960887883827
31232 22.875 0.00127962852995398
31744 23.25 0.00127963791048935
32256 23.625 0.00127963403621478
32768 24 0.00127961719008189
