# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 14 2024 at 16:52:33+0200
# parameter filename: "TOV_lev3_r12_r10_res.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
# Run ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
0 0 0 0 0
512 0.375 0.0178397371553892 0.0178397371553892 0.0178397371553892
1024 0.75 0.0162560268285501 0.0162560268285501 0.0162560268285501
1536 1.125 0.0147351054260469 0.0147351054260469 0.0147351054260469
2048 1.5 0.0132730720988237 0.0132730720988237 0.0132730720988237
2560 1.875 0.0118652112205682 0.0118652112205682 0.0118652112205682
3072 2.25 0.0105070258138818 0.0105070258138818 0.0105070258138818
3584 2.625 0.00919566060182831 0.00919566060182841 0.00919566060182846
4096 3 0.00787219856587978 0.00787219856587998 0.0078721985658799
4608 3.375 0.00640526412291455 0.00640526412291467 0.00640526412291464
5120 3.75 0.00481729163319209 0.00481729163319204 0.00481729163319239
5632 4.125 0.00395548590834914 0.00395548590834887 0.00395548590834914
6144 4.5 0.00413874272138075 0.00413874272138064 0.00413874272138072
6656 4.875 0.00429988002876396 0.00429988002876331 0.0042998800287638
7168 5.25 0.00443718866295278 0.00443718866295274 0.00443718866295208
7680 5.625 0.004548031862257 0.00454803186225628 0.00454803186225403
8192 6 0.00463342052243469 0.00463342052242548 0.00463342052242295
8704 6.375 0.00469517408514798 0.00469517408512793 0.00469517408512827
9216 6.75 0.0047352960795024 0.0047352960794631 0.00473529607948202
9728 7.125 0.00475566086347783 0.00475566086340332 0.00475566086345855
10240 7.5 0.00475794418151054 0.00475794418142956 0.00475794418147354
10752 7.875 0.00474372162761559 0.00474372162745648 0.00474372162747736
11264 8.25 0.00471461434691254 0.00471461434679282 0.00471461434676605
11776 8.625 0.00467146898576336 0.00467146898607379 0.00467146898610175
12288 9 0.0046153705347718 0.00461537053625374 0.00461537053625631
12800 9.375 0.00454747373662801 0.00454747374012002 0.00454747373999703
13312 9.75 0.00446857930145623 0.0044685793074529 0.0044685793077502
13824 10.125 0.0043798642665285 0.00437986427567924 0.00437986427643902
14336 10.5 0.00428244920467811 0.00428244921610569 0.00428244921724273
14848 10.875 0.00417732684078924 0.0041773268494906 0.00417732685061171
15360 11.25 0.00406553457725652 0.00406553457375899 0.00406553457422343
15872 11.625 0.00394855326033501 0.00394855323273642 0.00394855323195595
16384 12 0.00382660304896146 0.00382660298103476 0.00382660297825647
16896 12.375 0.00369984444492843 0.00369984430922609 0.00369984430376426
17408 12.75 0.00356902676259225 0.00356902652914313 0.00356902652036491
17920 13.125 0.00343456133353044 0.00343456097043925 0.00343456095762935
18432 13.5 0.00329638587165128 0.00329638534811153 0.00329638533032873
18944 13.875 0.00315461754719678 0.00315461683690504 0.0031546168124606
19456 14.25 0.00300993144656283 0.00300993054100403 0.00300993050953194
19968 14.625 0.00287675596244558 0.00287675588107348 0.0028767558718198
20480 15 0.00274898393739083 0.00274898385521391 0.00274898384498021
20992 15.375 0.00262303532746272 0.00262303524405575 0.00262303523023018
21504 15.75 0.00249913982930616 0.00249913973726443 0.00249913973374295
22016 16.125 0.00237657993239706 0.00237657974172933 0.00237657986926641
22528 16.5 0.00225442046136629 0.00225442022433048 0.00225442043457388
23040 16.875 0.0021319665211893 0.00213196624110417 0.00213196652144412
23552 17.25 0.00201178473345412 0.0020117846875986 0.00201178470796932
24064 17.625 0.00189498217190437 0.00189498212416582 0.00189498201816508
24576 18 0.00177955651091258 0.00177955647707606 0.00177955621312095
25088 18.375 0.00172687111944991 0.00172683312909331 0.00172680585926974
25600 18.75 0.00169566873254938 0.0016956068230842 0.0016955660528857
26112 19.125 0.00166669853874255 0.00166660540047611 0.00166656153807948
26624 19.5 0.00163954971006126 0.00163938971153305 0.00163936727853659
27136 19.875 0.0016148124124013 0.00161462139947344 0.0016146144461977
27648 20.25 0.00159275925387964 0.00159255635028193 0.00159255953524116
28160 20.625 0.00157282618502829 0.00157260645169976 0.00157262777913574
28672 21 0.00155400558282548 0.00155376956021897 0.00155381396528973
29184 21.375 0.00153571440133917 0.0015355201581134 0.00153560669663176
29696 21.75 0.00151773167361232 0.00151765706892977 0.00151783240265292
30208 22.125 0.00150031506348398 0.00150037633276508 0.00150065378542713
30720 22.5 0.00148388691689708 0.00148390588174832 0.00148421404350101
31232 22.875 0.00146842967923169 0.00146838268336647 0.00146869570629783
31744 23.25 0.00145350927407996 0.0014533971555448 0.00145371005910243
32256 23.625 0.0014388996942934 0.0014389347434328 0.00143923467655448
32768 24 0.0014249722259896 0.00142512835603824 0.00142540726845596
33280 24.375 0.00141185384283917 0.00141209018047079 0.00141234219403783
33792 24.75 0.00139953565845036 0.00139981687862889 0.0014000355777329
34304 25.125 0.00138816051638096 0.00138845516084857 0.00138863539670612
34816 25.5 0.00137798732778891 0.00137827460666737 0.00137841390006414
35328 25.875 0.00136909091190442 0.00136935669219694 0.00136944525849486
35840 26.25 0.00136145819319206 0.00136168833758882 0.00136170862291545
36352 26.625 0.00135530625590419 0.00135548646319466 0.00135542364922533
36864 27 0.00135155069975934 0.00135167194558994 0.00135151563493116
37376 27.375 0.00135140878971891 0.00135143759252079 0.00135118139304845
37888 27.75 0.00135521495667921 0.00135500832725983 0.00135464255481299
38400 28.125 0.00136201428741884 0.00136156605726433 0.00136149635954178
38912 28.5 0.00137059632563084 0.00136991683264096 0.00137010900875123
39424 28.875 0.00138050426782797 0.00137887781819565 0.00137980467693294
39936 29.25 0.00139200800189197 0.00138879037383274 0.00139080232818276
40448 29.625 0.00140524433987885 0.00140061750572797 0.00140346417947828
40960 30 0.0014211736550433 0.00141563584396375 0.00141869714668903
41472 30.375 0.00143930473697871 0.00143424216659206 0.00143578832936193
41984 30.75 0.00146049952475578 0.00145342982517024 0.00145400366293321
42496 31.125 0.00148387992514698 0.00147426505084824 0.00147444395074021
43008 31.5 0.00150737280710823 0.00150628684388311 0.00150038787737197
43520 31.875 0.0015384844739338 0.00154004717781457 0.00153422788941183
44032 32.25 0.00157010894435115 0.00157168626307311 0.00156634795654845
44544 32.625 0.00159941526583111 0.00160063681792843 0.00159629808308933
45056 33 0.00162525071496966 0.00162579182288072 0.00162268946007757
45568 33.375 0.00164709504830937 0.00164683987501115 0.00164479741594728
46080 33.75 0.00166444307018919 0.00166432856433585 0.00166263141925247
