# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 14 2024 at 16:52:33+0200
# parameter filename: "TOV_lev3_r12_r10_res.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
# Run ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
0 0 0 0 0
512 0.375 -0.00413953587358897 -0.00413953587358897 -0.00413953587358897
1024 0.75 -0.00822227677909177 -0.00822227677909177 -0.00822227677909176
1536 1.125 -0.0122709192881977 -0.0122709192881977 -0.0122709192881977
2048 1.5 -0.0163105276868156 -0.0163105276868156 -0.0163105276868156
2560 1.875 -0.0202987104955381 -0.0202987104955381 -0.0202987104955381
3072 2.25 -0.0242183114609906 -0.0242183114609905 -0.0242183114609905
3584 2.625 -0.0280565680336633 -0.0280565680336631 -0.0280565680336631
4096 3 -0.0318017223509311 -0.0318017223509311 -0.031801722350931
4608 3.375 -0.0354797638391294 -0.0354797638391291 -0.0354797638391292
5120 3.75 -0.0390554826959632 -0.0390554826959636 -0.0390554826959636
5632 4.125 -0.0425125742266802 -0.0425125742266801 -0.0425125742266803
6144 4.5 -0.0458433890596883 -0.0458433890596881 -0.0458433890596863
6656 4.875 -0.0490424189257009 -0.0490424189257034 -0.0490424189257014
7168 5.25 -0.0521057041906818 -0.0521057041906872 -0.0521057041906892
7680 5.625 -0.055031091309933 -0.0550310913099415 -0.0550310913099423
8192 6 -0.0578176123392508 -0.0578176123393034 -0.0578176123392678
8704 6.375 -0.0606365933829514 -0.0606365933830602 -0.0606365933829929
9216 6.75 -0.0636393941584463 -0.0636393941585953 -0.0636393941585084
9728 7.125 -0.0666396703333905 -0.0666396703335781 -0.0666396703335036
