# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 14 2024 at 16:52:33+0200
# parameter filename: "TOV_lev3_r12_r10_res.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
# Run ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
#
# HYDROBASE::w_lorentz (hydrobase-w_lorentz)
# 1:iteration 2:time 3:data
# data columns: 3:w_lorentz
0 0 1
512 0.375 1.00022161649859
1024 0.75 1.00018397670026
1536 1.125 1.00015143794769
2048 1.5 1.0002065340312
2560 1.875 1.00031772816015
3072 2.25 1.00043768669651
3584 2.625 1.00058469901933
4096 3 1.00074756459376
4608 3.375 1.00092253082637
5120 3.75 1.00110409223975
5632 4.125 1.00130392878963
6144 4.5 1.00152108468183
6656 4.875 1.00174590988655
7168 5.25 1.00195344589266
7680 5.625 1.00216361950955
8192 6 1.00241902373438
8704 6.375 1.00267828755756
9216 6.75 1.00294153939995
9728 7.125 1.00320933408346
10240 7.5 1.00350341447362
10752 7.875 1.00383816564052
11264 8.25 1.00419842641962
11776 8.625 1.00456159990085
12288 9 1.00492435766888
12800 9.375 1.0052833522667
13312 9.75 1.0056354513369
13824 10.125 1.00597774187886
14336 10.5 1.00630551795931
14848 10.875 1.00661304189284
15360 11.25 1.00692121818368
15872 11.625 1.0072446963807
16384 12 1.00755538683443
16896 12.375 1.0078538257939
17408 12.75 1.0081794522831
17920 13.125 1.00855418524509
18432 13.5 1.00892494171447
18944 13.875 1.00929123049626
19456 14.25 1.00965253544912
19968 14.625 1.01000845304133
20480 15 1.01035830042481
20992 15.375 1.0107121619173
21504 15.75 1.01108494320609
22016 16.125 1.01145286299644
22528 16.5 1.0118147001518
23040 16.875 1.01217114238378
23552 17.25 1.01252286014895
24064 17.625 1.01286156523599
24576 18 1.01318804309034
25088 18.375 1.01350171132196
25600 18.75 1.01380788749547
26112 19.125 1.01410629373055
26624 19.5 1.01440561455265
27136 19.875 1.01469974583937
27648 20.25 1.01498669929654
28160 20.625 1.0152664482126
28672 21 1.01553894770368
29184 21.375 1.01580412546376
29696 21.75 1.01606223314833
30208 22.125 1.01631301691719
30720 22.5 1.01655629524123
31232 22.875 1.01679189302881
31744 23.25 1.01704124839355
32256 23.625 1.01729218944711
32768 24 1.01753586977825
33280 24.375 1.01777240435426
33792 24.75 1.01800191378336
34304 25.125 1.01822423522851
34816 25.5 1.01845360739824
35328 25.875 1.0186863276864
35840 26.25 1.01891097852282
36352 26.625 1.01912755189365
36864 27 1.01933590878357
37376 27.375 1.0195360375376
37888 27.75 1.01972786508147
38400 28.125 1.01991121436819
38912 28.5 1.02008686892505
39424 28.875 1.02028480016182
39936 29.25 1.02047109304887
40448 29.625 1.02064563791598
40960 30 1.0208080525759
