# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 14 2024 at 16:52:33+0200
# parameter filename: "TOV_lev3_r12_r10_res.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
# Run ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 0.000192685468809494
512 0.375 0.000203318912313348
1024 0.75 0.000175272773864466
1536 1.125 0.000169599301471744
2048 1.5 0.000191482766391221
2560 1.875 0.000230856003859151
3072 2.25 0.00026888168337845
3584 2.625 0.000299055999153544
4096 3 0.000327142978419764
4608 3.375 0.000357582967825731
5120 3.75 0.000384652448354852
5632 4.125 0.000409304645763081
6144 4.5 0.000437586790819261
6656 4.875 0.000466257898422293
7168 5.25 0.000492404166124588
7680 5.625 0.000521384620807488
8192 6 0.000552864375328921
8704 6.375 0.000581500230061219
9216 6.75 0.000610487896545941
9728 7.125 0.000642455177593593
10240 7.5 0.000672097547406922
10752 7.875 0.000700549148446306
11264 8.25 0.000732295594379886
11776 8.625 0.000759360981244184
12288 9 0.000783044493224597
12800 9.375 0.000819249656054358
13312 9.75 0.000848701848978312
13824 10.125 0.000861332811006185
14336 10.5 0.000894533509130158
14848 10.875 0.000931368683506739
15360 11.25 0.000948046078710268
15872 11.625 0.000970826463438351
16384 12 0.00100304747354002
16896 12.375 0.00103160876160867
17408 12.75 0.00105135470873545
17920 13.125 0.00107524789352939
18432 13.5 0.00111369016527745
18944 13.875 0.0011275220576593
19456 14.25 0.00115203930015477
19968 14.625 0.00118879002372453
20480 15 0.00120556216184571
20992 15.375 0.00123316582180959
21504 15.75 0.00125313979072859
22016 16.125 0.00128771411854586
22528 16.5 0.00130632281560362
23040 16.875 0.00132733811035941
23552 17.25 0.0013568726809364
24064 17.625 0.00138205806606109
24576 18 0.0014012274306173
25088 18.375 0.00142789961315451
25600 18.75 0.00145364775320526
26112 19.125 0.00147573778922401
26624 19.5 0.00149591054605605
27136 19.875 0.00152883626946199
27648 20.25 0.001545971023086
28160 20.625 0.00156682668193812
28672 21 0.00160111601191416
29184 21.375 0.00161574087607025
29696 21.75 0.00163254306828016
30208 22.125 0.00166189337556528
30720 22.5 0.00168080033377119
31232 22.875 0.00169689449297669
31744 23.25 0.00172910522594191
32256 23.625 0.00175004662200788
32768 24 0.00175906566403869
33280 24.375 0.00178295668953131
33792 24.75 0.00180692769846087
34304 25.125 0.00182637943515648
34816 25.5 0.00185312488841233
35328 25.875 0.00188221477329113
35840 26.25 0.00188813777139177
36352 26.625 0.00190519258159837
36864 27 0.00193958235646655
37376 27.375 0.00195628104585764
37888 27.75 0.00198151048778558
38400 28.125 0.00200129145164456
38912 28.5 0.00201657189773635
39424 28.875 0.00203256115639969
39936 29.25 0.00206477654540782
40448 29.625 0.00209215526126753
40960 30 0.00209998081772964
41472 30.375 0.00212408454216
41984 30.75 0.00214279583623139
42496 31.125 0.00216532923012273
43008 31.5 0.00219965283902739
43520 31.875 0.00220946485230224
44032 32.25 0.00222407780623927
44544 32.625 0.00225272397453453
45056 33 0.00227517211960236
45568 33.375 0.00229833666877938
46080 33.75 0.00231713389110065
46592 34.125 0.00232999112253424
47104 34.5 0.00235853142284513
47616 34.875 0.00238292540232586
48128 35.25 0.00240430721036264
48640 35.625 0.00242297263198209
49152 36 0.00243724753824642
49664 36.375 0.00247115162226834
50176 36.75 0.00249239369452149
50688 37.125 0.00250910131256911
51200 37.5 0.00253619333297746
51712 37.875 0.00255412744701536
52224 38.25 0.00257675249679906
52736 38.625 0.00260958108730447
53248 39 0.00263091966497825
53760 39.375 0.00264660552988209
54272 39.75 0.00267807815135838
54784 40.125 0.00270180978283752
55296 40.5 0.00273237641523064
55808 40.875 0.00275174629576437
56320 41.25 0.00277151833414777
56832 41.625 0.00280830902738204
57344 42 0.00283058671919442
57856 42.375 0.00285837472277964
58368 42.75 0.00287899655253783
58880 43.125 0.00290374576356689
59392 43.5 0.00293675730265104
59904 43.875 0.00296094908612955
60416 44.25 0.00298126624124757
