# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 14 2024 at 16:52:33+0200
# parameter filename: "TOV_lev3_r12_r10_res.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
# Run ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 -5.29900877820426e-05
512 0.375 -5.9385401896191e-05
1024 0.75 -5.91485700467163e-05
1536 1.125 -8.16874108106358e-05
2048 1.5 -0.000101501835535112
2560 1.875 -0.000122974505302529
3072 2.25 -0.000143502908690012
3584 2.625 -0.000157506414378642
4096 3 -0.000170833378975374
4608 3.375 -0.000186502755374803
5120 3.75 -0.000198682812294713
5632 4.125 -0.000208934483578526
6144 4.5 -0.000222758501596745
6656 4.875 -0.000236296004700082
7168 5.25 -0.000247412478134595
7680 5.625 -0.000261513900828349
8192 6 -0.000277470978386689
8704 6.375 -0.000290662302368836
9216 6.75 -0.000304857895964311
9728 7.125 -0.000321879667115193
10240 7.5 -0.000336312055889268
10752 7.875 -0.000349904155163201
11264 8.25 -0.000367282288346806
11776 8.625 -0.000382247959182131
12288 9 -0.000393281354291263
12800 9.375 -0.000409162535039551
13312 9.75 -0.000426186935467794
13824 10.125 -0.000436485536409132
14336 10.5 -0.00044830875981652
14848 10.875 -0.000466748529216565
15360 11.25 -0.000479387565496276
15872 11.625 -0.000486034755412483
16384 12 -0.000505108571521984
16896 12.375 -0.000520288134898229
17408 12.75 -0.000526519143438593
17920 13.125 -0.000542653035079852
18432 13.5 -0.000557608354008359
18944 13.875 -0.000569398972143422
19456 14.25 -0.000578395197967245
19968 14.625 -0.000595618231309221
20480 15 -0.000609251997866456
20992 15.375 -0.000614892547083643
21504 15.75 -0.000628985570693103
22016 16.125 -0.000643099639397875
22528 16.5 -0.000649021888185808
23040 16.875 -0.00066013898263162
23552 17.25 -0.000670202886719779
24064 17.625 -0.000683566518456655
24576 18 -0.000686520268177772
25088 18.375 -0.000699845755167586
25600 18.75 -0.000711526032332318
26112 19.125 -0.000714845698099801
26624 19.5 -0.000726149661256002
27136 19.875 -0.000737634898252579
27648 20.25 -0.000741236602500771
28160 20.625 -0.000749268403781926
