# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 14 2024 at 16:52:33+0200
# parameter filename: "TOV_lev3_r12_r10_res.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
# Run ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 2.37483269411265e-07
512 0.375 8.39607544217051e-06
1024 0.75 1.31466332933492e-05
1536 1.125 1.55679903419453e-05
2048 1.5 1.58116113337052e-05
2560 1.875 1.5476440088653e-05
3072 2.25 1.60455341264728e-05
3584 2.625 1.69212062245292e-05
4096 3 1.70826385548563e-05
4608 3.375 1.67430482435075e-05
5120 3.75 1.66179956453506e-05
5632 4.125 1.72149865578791e-05
6144 4.5 1.74304855695361e-05
6656 4.875 1.72833994366874e-05
7168 5.25 1.71364765035483e-05
7680 5.625 1.7393393986994e-05
8192 6 1.76317146240852e-05
8704 6.375 1.75570959016539e-05
9216 6.75 1.74423122862237e-05
9728 7.125 1.75276678312025e-05
10240 7.5 1.77889374162984e-05
10752 7.875 1.77204049870371e-05
11264 8.25 1.76791246671706e-05
11776 8.625 1.76625545071354e-05
12288 9 1.78574775739885e-05
12800 9.375 1.78611584461548e-05
13312 9.75 1.78144305840654e-05
13824 10.125 1.77973104290745e-05
14336 10.5 1.79085437697055e-05
14848 10.875 1.79428330585179e-05
15360 11.25 1.78918485082349e-05
15872 11.625 1.78927533029204e-05
16384 12 1.79429794005163e-05
16896 12.375 1.79940550074907e-05
17408 12.75 1.79566167599181e-05
17920 13.125 1.79779024953995e-05
18432 13.5 1.79756291862908e-05
18944 13.875 1.8045281744986e-05
19456 14.25 1.8020204855394e-05
19968 14.625 1.8051651886019e-05
20480 15 1.80461480614759e-05
20992 15.375 1.80740904695678e-05
21504 15.75 1.80899036391809e-05
22016 16.125 1.81197661610733e-05
22528 16.5 1.81287020227823e-05
23040 16.875 1.81389816559689e-05
23552 17.25 1.81468995919627e-05
24064 17.625 1.81850021625741e-05
24576 18 1.82106238797223e-05
25088 18.375 1.8210317046889e-05
25600 18.75 1.82272135273468e-05
26112 19.125 1.82449790312946e-05
26624 19.5 1.82840743545447e-05
27136 19.875 1.82856502431431e-05
27648 20.25 1.83065173628653e-05
28160 20.625 1.83101132685586e-05
28672 21 1.83425241750702e-05
29184 21.375 1.83606868018325e-05
29696 21.75 1.83710619626713e-05
30208 22.125 1.8384395632067e-05
30720 22.5 1.84069705438488e-05
31232 22.875 1.8415722121303e-05
31744 23.25 1.84409150252818e-05
32256 23.625 1.84518542034868e-05
32768 24 1.84697620714849e-05
33280 24.375 1.84889312372723e-05
33792 24.75 1.84932434426638e-05
34304 25.125 1.85253721428489e-05
34816 25.5 1.85376603729909e-05
35328 25.875 1.85535681004828e-05
35840 26.25 1.85664830165355e-05
36352 26.625 1.85909490311046e-05
36864 27 1.85921584732342e-05
37376 27.375 1.86246999122892e-05
37888 27.75 1.86212559185375e-05
38400 28.125 1.86518523781087e-05
38912 28.5 1.8669052598895e-05
39424 28.875 1.86662039655917e-05
39936 29.25 1.86993411564102e-05
40448 29.625 1.86967404674059e-05
40960 30 1.87529479943173e-05
41472 30.375 1.87643709417298e-05
41984 30.75 1.87757238618179e-05
42496 31.125 1.87740609144171e-05
43008 31.5 1.8790012071626e-05
43520 31.875 1.88303298118038e-05
44032 32.25 1.88596024205393e-05
44544 32.625 1.88647564831482e-05
45056 33 1.88754068404927e-05
45568 33.375 1.88894384960246e-05
46080 33.75 1.89160811407622e-05
46592 34.125 1.89384076126692e-05
47104 34.5 1.89488067740353e-05
47616 34.875 1.89847806851395e-05
48128 35.25 1.89945893349027e-05
48640 35.625 1.90431227221163e-05
49152 36 1.9066619283084e-05
49664 36.375 1.91112275975871e-05
50176 36.75 1.91499601960383e-05
50688 37.125 1.91794080297258e-05
51200 37.5 1.9218026355461e-05
51712 37.875 1.92351482209845e-05
52224 38.25 1.92700768584521e-05
52736 38.625 1.92859531708238e-05
53248 39 1.93047857621872e-05
53760 39.375 1.93021954338057e-05
54272 39.75 1.93211761084275e-05
54784 40.125 1.93537217568805e-05
55296 40.5 1.93860010629803e-05
55808 40.875 1.94195700845904e-05
56320 41.25 1.94504623559497e-05
56832 41.625 1.94801438772831e-05
57344 42 1.95166221038658e-05
57856 42.375 1.95396149476929e-05
58368 42.75 1.9589990746159e-05
58880 43.125 1.9623946780908e-05
59392 43.5 1.96633833957626e-05
59904 43.875 1.96755221811373e-05
60416 44.25 1.97139829766019e-05
60928 44.625 1.97617076470959e-05
