# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 14 2024 at 16:52:33+0200
# parameter filename: "TOV_lev3_r12_r10_res.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
# Run ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.375 -9.88160679326727e-06 -9.88160679331468e-06 -9.8816067933445e-06
1024 0.75 -5.72189079829809e-06 -5.72189079831625e-06 -5.72189079829199e-06
1536 1.125 -9.94725733522844e-06 -9.94725733523877e-06 -9.94725733511421e-06
2048 1.5 -7.56239975413897e-06 -7.56239975432121e-06 -7.56239975417842e-06
2560 1.875 -7.6566989940715e-06 -7.65669899450262e-06 -7.65669899466396e-06
3072 2.25 -7.56426159343855e-06 -7.56426159850038e-06 -7.56426160071038e-06
3584 2.625 -9.04240470211902e-06 -9.04240470600279e-06 -9.04240470661063e-06
4096 3 -1.0740573518199e-05 -1.07405735221282e-05 -1.07405735160396e-05
4608 3.375 -1.19966735702653e-05 -1.19966735614715e-05 -1.19966735619168e-05
5120 3.75 -1.21006170270523e-05 -1.21006170430365e-05 -1.21006170229205e-05
5632 4.125 -8.45564411547015e-06 -8.45564428548027e-06 -8.45564400101282e-06
6144 4.5 -1.24748537631339e-05 -1.24748538330247e-05 -1.2474853814415e-05
6656 4.875 -1.60486396787109e-05 -1.60486386058711e-05 -1.60486412788184e-05
7168 5.25 -1.67971190219003e-05 -1.67971176975901e-05 -1.67971152019094e-05
7680 5.625 -7.97953256088084e-06 -7.97953207779472e-06 -7.97952819972023e-06
8192 6 -1.92477205007242e-05 -1.92477217107172e-05 -1.92477128972043e-05
8704 6.375 -1.52881680583142e-05 -1.52881716645921e-05 -1.5288180065544e-05
9216 6.75 -2.2458226915868e-05 -2.24582285247854e-05 -2.24582285314148e-05
9728 7.125 -1.7975079829325e-05 -1.79750831057213e-05 -1.79750782961285e-05
10240 7.5 -8.43733673990579e-06 -8.43733204799707e-06 -8.43733132687885e-06
10752 7.875 -1.5257219722092e-05 -1.52572118162389e-05 -1.52572230322271e-05
11264 8.25 -1.23548992417501e-05 -1.23549022011437e-05 -1.23548999534719e-05
11776 8.625 -1.75213963171691e-05 -1.75214154655607e-05 -1.75213959880141e-05
12288 9 -8.92281357671785e-06 -8.92280774031601e-06 -8.92281456307125e-06
12800 9.375 -1.51136301278233e-05 -1.51135952336828e-05 -1.51136310656259e-05
13312 9.75 -1.09681597339763e-05 -1.09681349712226e-05 -1.0968157619469e-05
13824 10.125 -8.90163939847573e-06 -8.90162153880118e-06 -8.901633698813e-06
14336 10.5 -9.55267424269066e-06 -9.55267426152934e-06 -9.55267426131631e-06
14848 10.875 -9.03761359276266e-06 -9.03761355692097e-06 -9.03762458341328e-06
15360 11.25 -8.54448929540152e-06 -8.54448929677127e-06 -8.54448929402957e-06
15872 11.625 -9.28014380116138e-06 -9.28014381545026e-06 -9.28014378967896e-06
16384 12 -8.66872852964669e-06 -8.66872850780174e-06 -8.66872852666399e-06
16896 12.375 -7.33675773242542e-06 -7.33675772582965e-06 -7.33675773206261e-06
17408 12.75 -8.369010400563e-06 -8.36901039934281e-06 -8.36901041612113e-06
17920 13.125 -8.58397503930698e-06 -8.58397503282212e-06 -8.583975001412e-06
18432 13.5 -8.76630633489775e-06 -8.76630633642861e-06 -8.76630626118488e-06
18944 13.875 -1.07606487869255e-05 -1.07606487923572e-05 -1.0760648767638e-05
19456 14.25 -1.31495686206663e-05 -1.31495686565064e-05 -1.31495684863463e-05
19968 14.625 -1.18416405484493e-05 -1.18416406091297e-05 -1.18416406147641e-05
20480 15 -8.43488641163079e-06 -8.43488659012887e-06 -8.4348862379456e-06
20992 15.375 -7.12815230358292e-06 -7.12815161795393e-06 -7.12815178001996e-06
21504 15.75 -6.58510618840403e-06 -6.58510592827579e-06 -6.58510590735402e-06
22016 16.125 -8.1456060627323e-06 -8.14560564568999e-06 -8.1456056609825e-06
22528 16.5 -7.29469648719378e-06 -7.29469634190734e-06 -7.29469612761541e-06
23040 16.875 -7.61637703854133e-06 -7.61637605412446e-06 -7.61637762898181e-06
23552 17.25 -8.41623440975357e-06 -8.41613757505353e-06 -8.41621725795171e-06
24064 17.625 -7.69284499183086e-06 -7.69284215167386e-06 -7.69284577469462e-06
24576 18 -9.87399216252156e-06 -9.87399231425133e-06 -9.87399227158126e-06
25088 18.375 -1.06423357013404e-05 -1.06423407902209e-05 -1.06423392902654e-05
25600 18.75 -1.03899411240992e-05 -1.03899399621734e-05 -1.03899382977258e-05
26112 19.125 -9.02867679609479e-06 -9.02867599334216e-06 -9.02867838888463e-06
26624 19.5 -9.17183223242173e-06 -9.17175501588774e-06 -9.17184660182836e-06
27136 19.875 -1.14030337205831e-05 -1.14027350606467e-05 -1.14029455748918e-05
27648 20.25 -1.03422926522801e-05 -1.03421246145752e-05 -1.03421940815409e-05
28160 20.625 -9.15196383828257e-06 -9.15082269024028e-06 -9.15226571033927e-06
28672 21 -1.02893610336346e-05 -1.0289379863251e-05 -1.02894393247447e-05
29184 21.375 -1.11638664425348e-05 -1.11638633985823e-05 -1.11632392923709e-05
29696 21.75 -1.07208254682056e-05 -1.07204937092818e-05 -1.07205249745641e-05
30208 22.125 -1.12081803876436e-05 -1.12079252151168e-05 -1.12082259816576e-05
30720 22.5 -1.06889219153905e-05 -1.06889638736264e-05 -1.0689252854024e-05
31232 22.875 -1.07754344157286e-05 -1.07760625968055e-05 -1.07757131332556e-05
31744 23.25 -1.11371255462611e-05 -1.11382773971409e-05 -1.11384817260959e-05
32256 23.625 -1.06736560462403e-05 -1.06772245650041e-05 -1.06742361249054e-05
32768 24 -1.03821904461112e-05 -1.03823157584109e-05 -1.03821889462679e-05
33280 24.375 -9.89835743862249e-06 -9.89855316206358e-06 -9.89858250406303e-06
33792 24.75 -1.17092266746906e-05 -1.17092020316637e-05 -1.17087227083262e-05
34304 25.125 -1.12630118364736e-05 -1.12648280348847e-05 -1.12646891246466e-05
34816 25.5 -1.12127171560124e-05 -1.12128481044597e-05 -1.12128415435014e-05
35328 25.875 -1.12729385468997e-05 -1.12734712332793e-05 -1.12736280196446e-05
35840 26.25 -1.2081293248704e-05 -1.20805549125847e-05 -1.20808297850406e-05
36352 26.625 -1.22032535675896e-05 -1.22006461212413e-05 -1.22036377141335e-05
36864 27 -1.14784696754942e-05 -1.14705882343357e-05 -1.14803493093087e-05
37376 27.375 -1.12400622518967e-05 -1.12396329389066e-05 -1.12398069564226e-05
37888 27.75 -1.15840296873128e-05 -1.15836001447271e-05 -1.15836614709351e-05
38400 28.125 -1.40336655486669e-05 -1.40325485251345e-05 -1.4033283148424e-05
