# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 14 2024 at 16:52:33+0200
# parameter filename: "TOV_lev3_r12_r10_res.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
# Run ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.375 4.24095597377361e-07 4.24095597383735e-07 4.24095597395034e-07
1024 0.75 1.3092201613623e-06 1.30922016135936e-06 1.3092201613658e-06
1536 1.125 2.32205074487462e-06 2.32205074487867e-06 2.32205074488637e-06
2048 1.5 2.63704063053846e-06 2.63704063054236e-06 2.63704063052817e-06
2560 1.875 2.35342376320073e-06 2.35342376315566e-06 2.35342376319298e-06
3072 2.25 2.41781909881626e-06 2.41781909880187e-06 2.41781909883816e-06
3584 2.625 2.52561635546891e-06 2.52561635552925e-06 2.52561635551147e-06
4096 3 2.41286221910831e-06 2.41286221916361e-06 2.4128622191854e-06
4608 3.375 2.43803522593372e-06 2.43803522598412e-06 2.43803522564307e-06
5120 3.75 2.43735812807666e-06 2.43735812807331e-06 2.43735812751796e-06
5632 4.125 2.36514365731123e-06 2.3651436573354e-06 2.36514365657632e-06
6144 4.5 2.3283951691729e-06 2.32839516993794e-06 2.32839517000775e-06
6656 4.875 2.29000837127203e-06 2.29000837031521e-06 2.29000837268386e-06
7168 5.25 2.23105732999337e-06 2.23105733262796e-06 2.23105733246841e-06
7680 5.625 2.18640872127975e-06 2.18640872106966e-06 2.18640872156874e-06
8192 6 2.17237794470375e-06 2.17237793571433e-06 2.17237793634177e-06
8704 6.375 2.15457950608493e-06 2.15457949896596e-06 2.15457949952445e-06
9216 6.75 2.14917819297707e-06 2.14917819025187e-06 2.14917820243225e-06
9728 7.125 2.17460964605184e-06 2.1746096534661e-06 2.17460964774165e-06
10240 7.5 2.18172085701358e-06 2.18172085491325e-06 2.18172085179119e-06
10752 7.875 2.19588702862022e-06 2.19588704404568e-06 2.19588706255783e-06
11264 8.25 2.21843953610153e-06 2.21843953247305e-06 2.21843952788086e-06
11776 8.625 2.22452842688281e-06 2.22452841877772e-06 2.22452842515327e-06
12288 9 2.22863269217398e-06 2.22863268260287e-06 2.22863267338033e-06
12800 9.375 2.22898380053017e-06 2.22898376824062e-06 2.22898378689239e-06
13312 9.75 2.21568527299512e-06 2.21568521974159e-06 2.21568528538768e-06
13824 10.125 2.19574021013276e-06 2.19574015221722e-06 2.19574022315986e-06
14336 10.5 2.17314613060878e-06 2.17314609237437e-06 2.17314612287436e-06
14848 10.875 2.15074681839698e-06 2.15074679658788e-06 2.15074677823397e-06
15360 11.25 2.12930187528908e-06 2.12930187170999e-06 2.12930182992917e-06
15872 11.625 2.11563434514249e-06 2.11563431998249e-06 2.11563433066881e-06
16384 12 2.10151101017785e-06 2.10151100453432e-06 2.10151097865075e-06
16896 12.375 2.09060140000313e-06 2.09060141350588e-06 2.09060129785016e-06
17408 12.75 2.09120470138651e-06 2.09120471391565e-06 2.09120458729071e-06
17920 13.125 2.09395304251529e-06 2.09395310564289e-06 2.09395302271752e-06
18432 13.5 2.0977951614836e-06 2.09779522467248e-06 2.09779514231285e-06
18944 13.875 2.10461022875028e-06 2.10461017498576e-06 2.10461021904975e-06
19456 14.25 2.10653442738328e-06 2.10653438890179e-06 2.10653449577739e-06
19968 14.625 2.11055868791946e-06 2.11055861085988e-06 2.1105587049079e-06
20480 15 2.11983025357432e-06 2.11983030496367e-06 2.1198303152344e-06
20992 15.375 2.12092195488568e-06 2.12092211739704e-06 2.1209218885129e-06
21504 15.75 2.10534154972627e-06 2.10534171136383e-06 2.10534165835094e-06
22016 16.125 2.07920246171331e-06 2.07920295834005e-06 2.07920273180979e-06
22528 16.5 2.05652623337193e-06 2.0565272522441e-06 2.05652685087265e-06
23040 16.875 2.04795549815717e-06 2.04795622746389e-06 2.04795577670063e-06
23552 17.25 2.06362595469292e-06 2.06362575135255e-06 2.06362585436919e-06
24064 17.625 2.07892756368395e-06 2.0789282133924e-06 2.0789289773748e-06
24576 18 2.08956409627927e-06 2.0895652663366e-06 2.08956574700133e-06
25088 18.375 2.09438915386618e-06 2.09439137728079e-06 2.09439076258497e-06
25600 18.75 2.08966011287411e-06 2.0896633500884e-06 2.08966173619308e-06
26112 19.125 2.08095294109897e-06 2.08095254949682e-06 2.08095192451317e-06
26624 19.5 2.08191763252036e-06 2.08191489128913e-06 2.08191556644976e-06
27136 19.875 2.08238393205123e-06 2.08238514750556e-06 2.08238438485331e-06
27648 20.25 2.07455391232047e-06 2.07455517484617e-06 2.07455436156066e-06
28160 20.625 2.07222327875252e-06 2.07222321606425e-06 2.0722220126081e-06
28672 21 2.08057367991707e-06 2.08056997708309e-06 2.08057071131565e-06
29184 21.375 2.08242879026467e-06 2.08243113444651e-06 2.08243121216488e-06
29696 21.75 2.08522900782199e-06 2.08523478736588e-06 2.08523418223706e-06
30208 22.125 2.09692205788201e-06 2.09692307267294e-06 2.09692627701669e-06
30720 22.5 2.10454346412593e-06 2.10454443114231e-06 2.10454550295471e-06
31232 22.875 2.10414377604456e-06 2.10414706113994e-06 2.10414476467445e-06
31744 23.25 2.09903648051662e-06 2.09904521888932e-06 2.09904122018258e-06
