# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 14 2024 at 16:52:33+0200
# parameter filename: "TOV_lev3_r12_r10_res.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
# Run ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.375 9.88160679326727e-06 9.88160679331468e-06 9.8816067933445e-06
1024 0.75 8.51581292906728e-06 8.51581292906888e-06 8.51581292907048e-06
1536 1.125 1.45087687424293e-05 1.45087687424161e-05 1.45087687424028e-05
2048 1.5 1.85569309102843e-05 1.85569309103012e-05 1.8556930910318e-05
2560 1.875 1.85124851419431e-05 1.85124851419396e-05 1.85124851419361e-05
3072 2.25 1.83428202772461e-05 1.8342820277201e-05 1.83428202771558e-05
3584 2.625 2.14984528025021e-05 2.14984528025253e-05 2.14984528025485e-05
4096 3 1.67692037932558e-05 1.67692037932977e-05 1.67692037933398e-05
4608 3.375 2.11698015867694e-05 2.11698015868113e-05 2.11698015868532e-05
5120 3.75 2.01382565994603e-05 2.01382566161926e-05 2.01382566147586e-05
5632 4.125 1.92327766292353e-05 1.92327766293241e-05 1.9232776629413e-05
6144 4.5 1.89382619887974e-05 1.8938261988799e-05 1.89382619887878e-05
6656 4.875 1.66405287194127e-05 1.66405287194069e-05 1.66405287194285e-05
7168 5.25 1.78873479809211e-05 1.78873479809839e-05 1.78873479808834e-05
7680 5.625 1.52591765787391e-05 1.52591765786519e-05 1.52591765785293e-05
8192 6 1.9990622492955e-05 1.99906205637843e-05 1.9990618292582e-05
8704 6.375 1.60465638177406e-05 1.60465638199341e-05 1.60465638189562e-05
9216 6.75 2.2458226915868e-05 2.24582285247854e-05 2.24582285314148e-05
9728 7.125 1.7975079829325e-05 1.79750831057213e-05 1.79750782961285e-05
10240 7.5 1.56247683846279e-05 1.56248017561203e-05 1.56247727197974e-05
10752 7.875 1.83736066512089e-05 1.83736187096394e-05 1.83736039595915e-05
11264 8.25 1.69681461044882e-05 1.6968146067667e-05 1.69681467462593e-05
11776 8.625 2.03563648326853e-05 2.03563489974476e-05 2.03563652645243e-05
12288 9 1.74707835921837e-05 1.74707843797941e-05 1.74707836757999e-05
12800 9.375 1.52784786179422e-05 1.5278479014745e-05 1.52784769515046e-05
13312 9.75 1.74581247692869e-05 1.74581250701809e-05 1.74581247330741e-05
13824 10.125 1.60905914657976e-05 1.60905916993608e-05 1.60905917977352e-05
14336 10.5 1.6015493489848e-05 1.60154948998859e-05 1.60154932822813e-05
14848 10.875 1.61814306872435e-05 1.61814283041724e-05 1.61814282627988e-05
15360 11.25 1.49952669633085e-05 1.49952699909488e-05 1.49952767803668e-05
15872 11.625 1.5564443155613e-05 1.55644412408097e-05 1.55644485465344e-05
16384 12 1.35444562740128e-05 1.35444564390523e-05 1.35444574947787e-05
16896 12.375 1.48964016050156e-05 1.48964097750279e-05 1.48964002669651e-05
17408 12.75 1.39204476831336e-05 1.39204553732409e-05 1.39204479487702e-05
17920 13.125 1.31219275851529e-05 1.31219062814177e-05 1.31219237209792e-05
18432 13.5 1.40463697461133e-05 1.40463431934449e-05 1.40463679170964e-05
18944 13.875 1.34870632487038e-05 1.34870520930167e-05 1.34870637895987e-05
19456 14.25 1.32600381169929e-05 1.32600430632079e-05 1.32600545756643e-05
19968 14.625 1.45953661692242e-05 1.45953837844895e-05 1.45953791916573e-05
20480 15 1.34353985882861e-05 1.34354149941064e-05 1.34354164345106e-05
20992 15.375 1.49507141979017e-05 1.49507291336443e-05 1.49507133457441e-05
21504 15.75 1.50718201764925e-05 1.50717969330662e-05 1.5071797817293e-05
22016 16.125 1.73155200094996e-05 1.73155192778475e-05 1.73155191065249e-05
22528 16.5 1.46443131893638e-05 1.4644333511503e-05 1.464436812472e-05
23040 16.875 1.75113308187964e-05 1.75113034776356e-05 1.75113819149462e-05
23552 17.25 2.22950771453303e-05 2.22948648415296e-05 2.22946864303985e-05
24064 17.625 2.16171148872075e-05 2.16172747099746e-05 2.16171703528434e-05
24576 18 1.9566621017117e-05 1.95670495745499e-05 1.95668293771684e-05
25088 18.375 1.9228012835216e-05 1.92290635439177e-05 1.92283943162206e-05
25600 18.75 1.78021700741677e-05 1.78021281235196e-05 1.78021455848793e-05
26112 19.125 1.74751273223055e-05 1.747546079819e-05 1.7475708045706e-05
26624 19.5 1.88751345040126e-05 1.88760810033273e-05 1.88753004799172e-05
27136 19.875 1.64764606093615e-05 1.64765991905092e-05 1.64768963925957e-05
27648 20.25 1.97417537702687e-05 1.97418303472808e-05 1.97418430114576e-05
28160 20.625 1.91015497990742e-05 1.91038561171587e-05 1.91036366837608e-05
28672 21 1.82101173905614e-05 1.82113214632243e-05 1.82118221961517e-05
29184 21.375 1.86235384063321e-05 1.86234516944743e-05 1.86232028116132e-05
29696 21.75 2.06254800648637e-05 2.06254211170545e-05 2.0625700387223e-05
30208 22.125 1.84011966131181e-05 1.8399935094805e-05 1.83987331470012e-05
30720 22.5 1.89379219457997e-05 1.8938442735229e-05 1.89377818182902e-05
31232 22.875 1.95780646006469e-05 1.95775561920015e-05 1.95775442370021e-05
31744 23.25 1.83736312681982e-05 1.83731836740818e-05 1.83731980156206e-05
32256 23.625 1.78147450365785e-05 1.78148293989208e-05 1.78145651589005e-05
32768 24 1.93169816347345e-05 1.93168844600649e-05 1.93166905862315e-05
33280 24.375 1.89186883124634e-05 1.89183504716404e-05 1.89182773679153e-05
33792 24.75 1.8377560736056e-05 1.83776641546532e-05 1.83776959823386e-05
34304 25.125 2.1283818250172e-05 2.12849811652368e-05 2.12845196066414e-05
34816 25.5 1.73744911709737e-05 1.73744416455986e-05 1.73741208942833e-05
35328 25.875 1.78172954218686e-05 1.78169048231802e-05 1.78173780083355e-05
35840 26.25 1.97317600734068e-05 1.9731728447068e-05 1.97319963241295e-05
36352 26.625 1.74047841134148e-05 1.74054291090376e-05 1.74051872088249e-05
36864 27 1.73972575072559e-05 1.73971057531573e-05 1.73970427781354e-05
37376 27.375 1.825010154999e-05 1.82500510445467e-05 1.82507733368323e-05
37888 27.75 2.08894813830621e-05 2.08895923843998e-05 2.08894499471757e-05
38400 28.125 2.02404512074425e-05 2.02416806168929e-05 2.02411558941916e-05
38912 28.5 1.79815813716366e-05 1.79820655015397e-05 1.798222000106e-05
39424 28.875 1.97719075990669e-05 1.97718086831005e-05 1.97720951776221e-05
39936 29.25 2.07644267759698e-05 2.07647479043272e-05 2.07645301423246e-05
40448 29.625 2.1682369445834e-05 2.16824672069624e-05 2.16827418418366e-05
40960 30 2.3864115676927e-05 2.3863148370656e-05 2.38640984868981e-05
41472 30.375 2.30650507883495e-05 2.306422434037e-05 2.30654572724782e-05
